"","LibID","Library","SECTION","CHKOUTS","CHKINS","RENEWALS","HOLDS","Hl/RECLL","TOTAL #","PERCENT","MONTH","YEAR","CATEGORY","SUBCATEGORY"
"1","AD","Acorn Public Library District","jn",256,190,38,1,0,485,0.000184476089806764,"January",2011,"JUVENILE","JUVENILE NEW"
"2","AD","Acorn Public Library District","il",24,17,21,4,0,66,2.51039627365906e-05,"January",2011,"ILL RECEIVED","ILL RECEIVED"
"3","AD","Acorn Public Library District","j",3525,2934,691,16,0,7166,0.00272568177227891,"January",2011,"JUVENILE","JUVENILE"
"4","AD","Acorn Public Library District","an",743,688,135,20,1,1587,0.000603636194893474,"January",2011,"ADULT","ADULT NEW"
"5","AD","Acorn Public Library District","total",5771,5236,1357,150,0,12514,0.00475986348008628,"January",2011,"TOTAL","TOTAL"
"6","AM","Alsip-Merrionette Park Public Library District","total",10549,9943,1511,359,0,22362,0.00850567901084301,"January",2011,"TOTAL","TOTAL"
"7","AM","Alsip-Merrionette Park Public Library District","il",11,9,0,0,0,20,7.60726143533048e-06,"January",2011,"ILL RECEIVED","ILL RECEIVED"
"8","AM","Alsip-Merrionette Park Public Library District","a",1785,1807,130,16,0,3738,0.00142179716226327,"January",2011,"ADULT","ADULT"
"9","AM","Alsip-Merrionette Park Public Library District","j",196,188,12,0,0,396,0.000150623776419544,"January",2011,"JUVENILE","JUVENILE"
"10","AM","Alsip-Merrionette Park Public Library District","j",6769,5791,743,185,0,13488,0.00513033711198688,"January",2011,"JUVENILE","JUVENILE"
"11","BC","Beecher Community Library District","a",1,0,0,0,0,1,3.80363071766524e-07,"January",2011,"ADULT","ADULT"
"12","BC","Beecher Community Library District","jp",59,61,10,1,0,131,4.98275624014146e-05,"January",2011,"JUVENILE","JUV PAPERBACKS"
"13","BC","Beecher Community Library District","total",1842,1710,358,13,0,3923,0.00149216433054007,"January",2011,"TOTAL","TOTAL"
"14","BC","Beecher Community Library District","j",852,785,97,3,0,1737,0.000660690655658452,"January",2011,"JUVENILE","JUVENILE"
"15","BF","Brookfield Public Library","j",6386,5048,738,56,0,12228,0.00465107964156106,"January",2011,"JUVENILE","JUVENILE"
"16","BF","Brookfield Public Library","y",1272,1188,227,88,0,2775,0.0010555075241521,"January",2011,"YOUNG ADULT","YOUNG ADULT"
"17","BF","Brookfield Public Library","total",7928,7499,1435,143,0,17005,0.00646807403538974,"January",2011,"TOTAL","TOTAL"
"18","BF","Brookfield Public Library","jo",4,5,1,0,0,10,3.80363071766524e-06,"January",2011,"JUVENILE","JUV OVERSIZE"
"19","BF","Brookfield Public Library","y",224,239,50,15,0,528,0.000200831701892725,"January",2011,"YOUNG ADULT","YOUNG ADULT"
"20","BF","Brookfield Public Library","il",62,61,5,0,0,128,4.86864731861151e-05,"January",2011,"ILL RECEIVED","ILL RECEIVED"
"21","BF","Brookfield Public Library","ym",25,28,0,0,0,53,2.01592428036258e-05,"January",2011,"YOUNG ADULT","YOUNG ADULT PERIODICALS"
"22","BF","Brookfield Public Library","jm",26,19,1,0,0,46,1.74967013012601e-05,"January",2011,"JUVENILE","JUV PERIODICALS"
"23","BF","Brookfield Public Library","a",1946,1994,423,91,0,4454,0.0016941371216481,"January",2011,"ADULT","ADULT"
"24","BF","Brookfield Public Library","o",20,30,4,0,0,54,2.05396058753923e-05,"January",2011,"ADULT","ADULT OVERSIZE"
"25","BF","Brookfield Public Library","m",418,355,21,1,0,795,0.000302388642054387,"January",2011,"PERIODICALS","PERIODICALS"
"26","BF","Brookfield Public Library","j",780,715,174,15,0,1684,0.000640531412854826,"January",2011,"JUVENILE","JUVENILE"
"27","BF","Brookfield Public Library","js",68,42,17,2,0,129,4.90668362578816e-05,"January",2011,"PARENT TEACHER","PARENT TEACHER"
"28","BI","Blue Island Public Library","j",7487,6328,1450,234,2,15501,0.00589600797545289,"January",2011,"JUVENILE","JUVENILE"
"29","BI","Blue Island Public Library","total",7300,6949,1612,192,0,16053,0.00610596839106801,"January",2011,"TOTAL","TOTAL"
"30","BI","Blue Island Public Library","il",1,2,0,0,0,3,1.14108921529957e-06,"January",2011,"ILL RECEIVED","ILL RECEIVED"
"31","BI","Blue Island Public Library","an",964,926,149,18,0,2057,0.00078240683862374,"January",2011,"ADULT","ADULT NEW"
"32","BK","Berkeley Public Library","a",456,426,36,6,0,924,0.000351455478312268,"January",2011,"ADULT","ADULT"
"33","BK","Berkeley Public Library","j",246,233,28,3,0,510,0.000193985166600927,"January",2011,"JUVENILE","JUVENILE"
"34","BK","Berkeley Public Library","il",2,1,0,0,0,3,1.14108921529957e-06,"January",2011,"ILL RECEIVED","ILL RECEIVED"
"35","BK","Berkeley Public Library","j",1125,1058,102,11,1,2297,0.000873693975847706,"January",2011,"JUVENILE","JUVENILE"
"36","BK","Berkeley Public Library","total",1450,1406,219,83,1,3159,0.00120156694371045,"January",2011,"TOTAL","TOTAL"
"37","BP","Bedford Park Public Library District","j",581,480,124,11,0,1196,0.000454914233832763,"January",2011,"JUVENILE","JUVENILE"
"38","BP","Bedford Park Public Library District","an",116,116,12,0,0,244,9.28085895110319e-05,"January",2011,"ADULT","ADULT NEW"
"39","BP","Bedford Park Public Library District","total",1012,889,327,25,0,2253,0.000856958000689979,"January",2011,"TOTAL","TOTAL"
"40","BR","Broadview Public Library District","j",2126,2150,146,15,0,4437,0.00168767094942807,"January",2011,"JUVENILE","JUVENILE"
"41","BR","Broadview Public Library District","total",5724,5574,582,88,0,11968,0.00455218524290176,"January",2011,"TOTAL","TOTAL"
"42","BR","Broadview Public Library District","il",4,0,1,0,0,5,1.90181535883262e-06,"January",2011,"ILL RECEIVED","ILL RECEIVED"
"43","BV","Bridgeview Public Library","total",1429,1306,240,15,0,2990,0.00113728558458191,"January",2011,"TOTAL","TOTAL"
