"","LibID","Library","Year","Month","Checkouts_Workflows","Checkouts_Self.Check","Checkouts_Unknown","Checkouts","Checkins","Renewals_Enterprise","Renewals_Workflows","Renewals_Self.Check","Renewals_SVA","Renewals_BookMyne","Renewals_Unknown","Renewals","Holds_Enterprise","Holds_Workflows","Holds_BookMyne","Holds_webcat","Holds","ILL_ALA_INST","ILL_ALA_OUTST","ILL_GROUPLOAN","ILL_ILLINETILL","ILL_NONSWANILL","ILL_OCLC_INST","ILL_OCLC_OUTST","ILL_RB_HOLDS","ILL_SHARE_ILL","ILL_SWAN","ILL_Loans","Patrons_Added","Checkouts_Mobile.Circ","Checkouts_Staff","Checkouts_Web.Services.Staff","Holds_Self.Check","Holds_TOTAL","ILL_ILCSO_ILL","ILL_TOTAL","ILL_UNKNOWN","Renewals_Auto.Renewal","Renewals_Mobile.Circ","Renewals_Staff"
"22","ADS","Acorn Public Library District",2016,"March",11126,492,2,11620,11868,687,828,9,0,1,0,1525,1187,753,0,,1940,0,0,0,29,53,0,29,0,7,3,121,93,0,,,0,,,,,,0,
"23","AMS","Alsip-Merrionette Park Public Library District",2015,"July",14776,1695,49,16520,16252,563,985,33,,0,4,1585,1025,532,0,,1557,0,2,0,0,22,0,121,0,4,0,149,139,,0,,,,,,,,,0
"24","AMS","Alsip-Merrionette Park Public Library District",2017,"February",9199,1564,7,10770,10744,628,811,37,0,47,0,1523,738,390,23,,1151,0,0,0,0,13,70,11,0,4,9,123,53,0,,,,,,,16,,0,
"25","AMS","Alsip-Merrionette Park Public Library District",2015,"August",12570,1372,9,13951,14117,579,823,52,0,0,0,1454,1184,696,0,,1880,0,2,0,1,11,0,112,0,0,1,127,104,,,0,0,,,,,,,0
"26","AMS","Alsip-Merrionette Park Public Library District",2015,"December",10088,1391,24,11503,11033,425,927,27,,0,0,1379,891,410,0,,1301,0,2,0,0,16,0,83,0,2,0,103,53,,,,0,,0,,,,,
"27","AMS","Alsip-Merrionette Park Public Library District",2015,"November",10295,1800,24,12119,11934,473,835,62,,0,0,1370,1007,389,0,,1396,0,2,0,0,16,0,83,0,1,1,103,77,,,,0,,0,,,,,
"28","AMS","Alsip-Merrionette Park Public Library District",2015,"June",14808,1580,106,16494,14745,578,998,20,,0,9,1605,1220,486,0,,1706,0,0,0,0,14,0,96,0,1,0,111,130,,0,,,,,,0,,,
"29","AMS","Alsip-Merrionette Park Public Library District",2016,"August",10046,1947,36,12089,,618,1014,51,0,52,4,1739,1046,703,35,,1784,,,,,,,,,,,,87,60,,,0,,,,,,0,
"30","AMS","Alsip-Merrionette Park Public Library District",2015,"September",12096,1581,14,13691,12551,599,784,50,,0,0,1433,1228,651,0,,1879,0,0,0,1,14,0,114,0,2,0,131,96,,,0,0,,,,,,,0
"31","AMS","Alsip-Merrionette Park Public Library District",2016,"April",10135,1650,15,11827,11287,563,1041,75,0,20,0,1699,1039,529,22,,1590,0,0,0,0,18,0,60,0,1,19,98,40,27,,,0,,,,,,0,
"32","AMS","Alsip-Merrionette Park Public Library District",2016,"March",11157,1867,16,13089,13569,667,1130,51,0,8,0,1858,1054,617,14,,1685,0,0,0,1,18,0,107,0,6,8,140,75,49,,,0,,,,,,2,
"33","AMS","Alsip-Merrionette Park Public Library District",2016,"July",10907,2442,1,13431,13013,758,971,107,0,19,0,1855,1062,746,59,,1867,,,,,,,,,,,,86,81,,,0,,,,,,0,
"34","AMS","Alsip-Merrionette Park Public Library District",2016,"October",9100,1775,9,10884,,521,1046,124,0,28,,1719,751,369,10,,1130,,,,,,,,,,,,51,0,,,0,,,,,,0,
