"","LibID","Library","ILDSDeliveryStop","CatalogLink","Month","Year","BibsAdded","ITEM.LOC.CODE","CHKOUTS","CHKINS","RENEWALS","HOLDS","Hl.RECLL","TOTAL..","PERCENT","BorrowingLibrary","ads","adsj","ams","amsj","bbs","bcs","bcsj","bfs","bfsj","bis","bisj","bks","bksj","bps","bpsj","brs","brsj","bvs","bvsj","bws","bwsj","bys","bysj","bzs","cas","casj","ccs","ccsj","chs","chsj","cis","cisj","cns","cnsj","crs","crsj","cts","ctsj","cws","cwsj","czs","czsj","dgs","dgsj","dos","dosj","ehs","ehsj","eps","epsj","ess","essj","evs","evsj","fbs","fbsj","fms","fmsj","fps","fpsj","frs","frsj","gas","gps","gpsj","gws","gwsj","has","hasj","hds","hdsj","hks","hksj","hss","hssj","hws","hwsj","ins","insj","jds","jdsj","lgs","lgsj","lps","lpsj","lys","lysj","mas","max","mcs","mcsj","mds","mdsj","mks","mls","mps","mpsj","mts","mtsj","mws","mwsj","nls","nlsj","nrs","nrsj","oes","oesj","ols","olsj","ops","opsj","ors","orsj","ozs","ozsj","pcs","pfs","pfsj","phs","phsj","pps","ppsj","pss","pssj","pts","ptsj","rds","rdsj","rfs","rfsj","rgs","rgsj","ros","rosj","rps","rpsj","rss","rssj","sas","sasj","sfs","sfsj","shs","shsj","sls","sps","spsj","sts","stsj","svs","svsj","tbs","tfs","tfsj","ths","thsj","tps","tpsj","ttr","tts","wcs","wcsj","wms","wmsj","wos","wosj","wrs","wrsj","ILL","bzsj","mjs","LOCATION","INTL.USE.","COPY.USE","IUSE3","TOTAL","ItemsAdded","PatronsAdded"
"921","BRS","Broadview Public Library District","XBR","https://catalog.swanlibraries.net/brs","December",2011,26,"brs",3720,3646,586,81,0,8033,0.00334916260511734,"BRS Broadview",2,0,1,1,0,1,0,1,0,5,5,2,0,1,1,0,0,0,0,2,0,4,0,0,0,0,7,1,0,0,1,1,0,0,4,0,1,1,0,0,,0,15,0,4,0,17,4,2,2,6,0,2,0,0,0,4,0,3,3,2,1,0,2,2,1,0,0,0,4,0,2,0,3,0,5,0,17,3,0,0,6,0,0,2,1,0,0,0,2,0,1,0,1,0,0,1,7,1,2,0,3,0,2,1,1,1,7,3,14,0,7,1,1,0,0,8,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,3,1,2,0,2,0,4,1,0,0,1,2,0,0,0,0,3,0,0,0,9,1,0,0,1,0,7,0,0,2,6,0,273,,,,,,,,197,36
"922","BVS","Bridgeview Public Library","XBR","https://catalog.swanlibraries.net/bvs","December",2011,364,"bvs",1152,1131,283,24,0,2590,0.00107983706551151,"BVS Bridgeview",7,0,4,0,0,3,0,4,4,5,1,0,0,2,0,4,2,0,0,1,0,15,1,0,0,0,10,3,1,1,5,3,0,2,5,0,0,1,2,1,,0,21,2,1,0,28,2,1,3,12,2,9,1,0,0,7,1,3,1,7,2,0,3,1,5,0,1,0,7,0,1,0,4,0,9,4,14,3,2,0,6,1,4,0,1,0,0,0,0,0,5,0,1,1,3,0,5,1,0,0,9,0,3,2,0,0,33,0,23,2,10,0,3,0,1,10,1,4,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,1,0,1,1,0,0,3,2,4,0,0,3,0,1,0,0,0,0,8,0,0,0,6,8,0,0,0,1,14,1,0,0,12,1,446,,,"bvs",1,0,0,1,431,52
"923","BWS","Bellwood Public Library","XBR","https://catalog.swanlibraries.net/bws","December",2011,110,"bws",2682,2832,627,71,0,6212,0.00258994125519593,"BWS Bellwood",15,0,21,8,0,1,0,6,4,14,25,4,0,1,1,17,2,9,2,0,0,4,1,0,1,0,24,3,6,1,19,4,4,1,7,0,8,0,6,1,,0,50,3,4,0,47,6,3,8,23,2,19,3,0,0,12,0,14,7,8,6,0,18,3,7,1,6,0,7,3,4,0,2,1,23,4,36,2,0,0,20,3,19,1,3,0,0,0,3,0,8,0,2,0,3,0,23,3,4,0,11,2,2,2,4,2,24,1,38,11,18,2,14,1,2,23,3,11,3,2,0,1,2,4,1,2,1,3,1,5,0,0,0,5,1,8,0,1,0,11,1,4,1,0,5,1,1,1,1,0,0,4,1,0,0,22,5,0,0,1,0,30,0,2,2,30,4,982,,,"bws",39,0,0,39,632,50
"924","BYS","Berwyn Public Library","XBR","https://catalog.swanlibraries.net/bys","December",2011,83,"bys",14701,15129,2060,509,4,32403,0.0135096372331156,"BYS Berwyn",17,7,25,4,0,6,4,13,8,34,13,5,2,11,3,15,3,8,2,6,1,0,0,0,0,0,52,9,5,0,35,8,8,4,29,2,13,3,7,2,,0,74,14,10,2,82,27,5,14,49,6,39,11,0,0,19,5,24,7,30,3,0,15,5,20,5,8,1,22,7,12,0,12,5,51,8,72,11,1,3,18,4,25,3,4,2,1,0,13,0,8,4,0,2,12,5,23,15,2,0,27,9,4,5,1,1,65,10,75,25,46,7,11,2,3,23,6,15,8,2,0,0,0,19,9,1,1,11,3,2,1,0,0,11,8,14,8,2,1,10,3,11,0,0,7,9,5,1,3,1,0,18,5,2,1,32,13,0,0,9,0,41,3,4,6,41,8,1853,,,,,,,,575,177
"925","BZS","Brookfield Zoo -- Library","XBR","https://catalog.swanlibraries.net/bzs","December",2011,,"bzs",1,5,1,4,0,11,4.5861805871145e-06,"BZS Brookfield Zoo",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,1,0,,0,1,0,0,0,2,1,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,4,4,1,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,2,75,,,,,,,,,
"926","CAS","Calumet Park Public Library","XBR","https://catalog.swanlibraries.net/cas","December",2011,,"cas",826,806,439,3,0,2074,0.000864703503425043,"CAS Calumet Park",5,0,5,0,0,2,0,5,1,16,0,7,1,0,0,7,0,0,0,0,0,4,0,0,0,0,3,0,3,0,2,0,1,0,5,0,0,2,2,0,,0,13,1,3,0,13,2,6,0,5,0,4,0,0,0,5,0,3,0,2,0,0,11,0,2,0,1,0,1,0,1,0,3,0,7,0,9,0,1,0,6,0,3,0,1,0,0,0,1,0,5,0,0,1,3,0,8,0,0,0,3,0,0,0,0,1,11,0,12,0,4,0,2,0,1,5,0,3,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,0,0,1,2,0,8,0,0,0,11,0,279,,,,,,,,107,23
"927","CCS","Calumet City Public Library","XBR","https://catalog.swanlibraries.net/ccs","December",2011,26,"ccs",6239,6353,1864,221,0,14677,0.0061192156797345,"CCS Calumet City",11,1,19,6,0,4,1,11,1,16,2,2,0,1,1,15,0,10,0,8,0,20,1,0,0,0,0,0,3,0,10,3,2,1,15,1,9,3,4,1,,0,35,4,15,1,66,14,12,10,22,0,15,2,0,0,12,5,7,3,12,2,0,18,0,11,0,6,2,16,2,6,0,11,2,18,1,35,5,3,0,7,3,15,1,7,0,0,0,3,0,4,0,4,1,9,1,24,6,2,0,17,0,4,3,3,1,40,1,40,7,18,6,8,1,3,24,2,6,2,1,0,0,0,5,2,5,0,10,1,2,1,0,0,4,3,7,0,0,0,4,1,8,1,0,4,3,2,1,1,0,0,7,3,1,1,18,13,0,1,5,2,20,0,2,2,23,0,992,,,,,,,,488,103
"928","CHS","Chicago Heights Public Library","XBR","https://catalog.swanlibraries.net/chs","December",2011,20,"chs",2115,1994,801,58,0,4968,0.00207128592334408,"CHS Chicago Heights",6,0,7,2,0,2,0,10,2,8,8,1,0,2,1,9,5,3,1,8,0,12,3,0,0,0,22,3,0,0,15,3,1,3,16,1,5,1,3,0,,0,38,3,4,0,43,7,9,2,18,0,6,3,0,0,11,1,3,4,14,8,0,8,2,7,2,6,2,6,0,4,0,7,2,31,5,49,4,2,1,10,1,10,1,5,1,0,0,3,0,3,0,1,1,5,0,17,6,1,0,9,2,6,3,4,0,19,1,43,6,26,1,6,2,2,20,0,3,1,3,0,0,1,8,1,1,0,9,0,1,2,0,0,5,2,14,1,3,0,5,0,1,1,0,4,2,0,1,2,0,0,7,0,1,0,15,10,0,0,2,0,24,4,3,3,21,4,855,,,,,,,,97,115
"929","CIS","Cicero Public Library","XBR","https://catalog.swanlibraries.net/cis","December",2011,103,"cis",9195,9404,1410,179,0,20188,0.00841689215387887,"CIS Cicero",10,0,22,10,0,2,1,15,15,21,51,4,3,3,1,11,2,15,2,8,2,45,4,0,0,0,30,6,11,3,0,0,7,1,26,3,11,7,3,2,,1,60,5,10,2,95,20,22,30,55,3,17,14,0,0,12,5,11,5,17,12,0,19,4,24,1,9,1,20,10,12,4,7,3,25,5,47,6,2,3,19,8,15,3,4,2,0,0,12,1,8,3,0,3,26,4,20,13,2,0,37,2,8,7,5,2,37,5,74,37,26,13,7,2,2,38,2,7,5,3,2,2,0,9,5,0,0,12,2,6,3,0,0,6,4,18,4,4,0,14,3,4,1,0,5,4,2,2,6,0,0,12,7,5,1,26,21,0,0,5,5,77,8,2,2,43,8,1757,,,,,,,,427,326
"930","CNS","Clarendon Hills Public Library","XBR","https://catalog.swanlibraries.net/cns","December",2011,70,"cns",1658,1495,295,23,0,3471,0.00144714843798858,"CNS Clarendon Hills",12,1,6,3,0,3,1,12,6,5,2,2,1,0,0,3,0,5,0,4,0,7,3,0,0,0,13,0,3,3,6,3,0,0,3,2,3,1,1,1,,0,25,3,1,0,37,4,6,7,14,3,10,5,0,0,9,1,3,0,8,5,0,11,1,3,1,0,1,15,4,1,0,4,1,14,3,20,3,3,0,8,3,6,1,3,0,1,0,1,0,7,0,0,1,9,0,8,3,2,0,9,0,4,4,1,0,24,4,43,9,28,4,9,0,2,11,2,10,2,2,0,1,0,4,1,0,0,1,2,5,1,0,0,3,1,11,3,1,1,4,1,5,0,0,3,3,1,0,0,0,0,5,2,0,1,11,7,0,0,3,1,10,3,2,1,29,2,691,,,,,,,,713,20
