"","LibID","Library","ILDSDeliveryStop","CatalogLink","Month","Year","BibsAdded","ITEM.LOC.CODE","CHKOUTS","CHKINS","RENEWALS","HOLDS","Hl.RECLL","TOTAL..","PERCENT","BorrowingLibrary","ads","adsj","ams","amsj","bbs","bcs","bcsj","bfs","bfsj","bis","bisj","bks","bksj","bps","bpsj","brs","brsj","bvs","bvsj","bws","bwsj","bys","bysj","bzs","cas","casj","ccs","ccsj","chs","chsj","cis","cisj","cns","cnsj","crs","crsj","cts","ctsj","cws","cwsj","dgs","dgsj","dos","dosj","ehs","ehsj","eps","epsj","ess","essj","evs","evsj","fbs","fbsj","fms","fmsj","fps","fpsj","frs","frsj","gas","gps","gpsj","gws","gwsj","has","hasj","hds","hdsj","hks","hksj","hss","hssj","hws","hwsj","ins","insj","jds","jdsj","lgs","lgsj","lps","lpsj","lys","lysj","mas","max","mcs","mcsj","mds","mdsj","mks","mls","mps","mpsj","mts","mtsj","mws","mwsj","nls","nlsj","nrs","nrsj","oes","oesj","ols","olsj","ops","opsj","ors","orsj","ozs","ozsj","pcs","pfs","pfsj","phs","phsj","pps","ppsj","pss","pssj","pts","ptsj","rds","rdsj","rfs","rfsj","rgs","rgsj","ros","rosj","rps","rpsj","rss","rssj","sas","sasj","sfs","sfsj","shs","shsj","sls","sps","spsj","sts","stsj","svs","svsj","tbs","tfs","tfsj","ths","thsj","tps","tpsj","ttr","tts","wcs","wcsj","wms","wmsj","wos","wosj","wrs","wrsj","ILL","czs","czsj","bzsj","mjs","LOCATION","INTL.USE.","COPY.USE","IUSE3","TOTAL","ItemsAdded","PatronsAdded"
"11","BYS","Berwyn Public Library","XBR","https://catalog.swanlibraries.net/bys","January",2013,165,"bys",17796,17202,2807,557,1,38363,0.0145090492928715,"BYS Berwyn",28,16,28,15,0,12,4,33,20,33,18,10,2,9,4,10,3,15,2,12,5,0,0,0,0,0,42,11,20,10,38,7,5,7,35,10,12,8,8,3,127,21,12,5,122,32,19,30,68,4,22,12,0,0,38,11,14,4,34,10,0,15,10,12,3,11,3,36,12,15,7,19,3,36,11,78,16,4,2,33,6,25,3,21,7,0,0,18,2,19,6,1,0,16,14,33,20,8,2,21,4,8,9,7,4,123,15,117,12,56,10,22,3,4,37,0,23,8,2,2,1,2,19,8,2,0,14,4,6,3,0,0,12,6,39,13,3,2,9,4,11,3,0,16,4,4,4,8,0,0,24,5,2,3,47,23,0,0,21,9,58,17,7,2,72,19,2600,,,,,,,,,,590,190
"12","BZS","Brookfield Zoo -- Library","XBR","https://catalog.swanlibraries.net/bzs","January",2013,2,"bzs",18,10,6,0,0,34,1.2858944189913e-05,"BZS Brookfield Zoo",0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,3,0,1,1,0,3,0,0,1,0,0,1,0,1,3,1,1,0,2,2,0,1,2,0,0,0,0,0,0,1,2,0,5,0,0,0,0,3,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,2,3,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,1,0,1,5,0,91,,,,,,,,,,14,
"13","CAS","Calumet Park Public Library","XBR","https://catalog.swanlibraries.net/cas","January",2013,1,"cas",801,765,314,4,0,1884,0.000712536789817532,"CAS Calumet Park",3,0,3,0,0,0,0,3,0,8,0,3,0,1,0,7,0,9,0,2,0,3,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,1,0,2,0,3,0,11,0,1,0,4,0,3,0,0,0,3,0,1,0,5,0,0,6,0,0,0,3,0,3,0,1,0,2,0,7,0,6,0,1,0,3,0,1,0,3,0,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,1,0,9,0,5,1,3,0,1,0,0,12,0,2,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,0,3,0,195,,,,,,,,,,175,14
"14","CCS","Calumet City Public Library","XBR","https://catalog.swanlibraries.net/ccs","January",2013,177,"ccs",6760,6349,1858,309,2,15278,0.00577820439216149,"CCS Calumet City",19,0,15,7,0,5,1,14,1,16,2,5,0,5,0,26,2,6,1,8,0,30,3,0,0,0,0,0,11,2,21,1,2,0,12,1,5,0,3,0,53,2,12,0,57,7,14,10,25,1,23,3,0,0,17,0,13,6,18,0,0,14,2,16,0,8,0,18,5,4,1,18,0,21,5,51,4,0,0,12,1,8,0,3,0,0,0,5,0,7,0,0,0,4,1,30,0,7,0,8,0,1,1,3,0,62,3,40,8,21,1,10,1,7,9,0,17,1,2,0,0,0,6,1,3,0,5,0,6,0,1,0,12,0,8,0,1,0,5,1,5,2,0,7,0,1,1,4,0,0,6,0,0,0,24,8,0,0,3,0,29,1,4,1,41,1,1112,,,,,,,,,,903,88
"15","CHS","Chicago Heights Public Library","XBR","https://catalog.swanlibraries.net/chs","January",2013,78,"chs",2679,2440,515,101,0,5735,0.00216900132144562,"CHS Chicago Heights",8,1,8,1,0,3,0,13,0,8,1,7,0,4,1,9,0,8,1,4,2,21,1,0,0,0,27,2,0,0,17,0,2,0,9,2,3,3,0,1,43,3,1,0,40,13,5,3,16,2,6,2,0,0,11,2,7,0,16,1,0,13,1,14,1,15,0,12,2,10,0,11,4,21,4,28,2,1,0,5,4,3,1,7,0,0,0,15,1,6,2,0,0,9,1,11,1,4,0,10,0,3,0,7,0,46,1,44,5,19,1,5,2,1,14,4,4,1,0,0,2,0,2,2,6,0,10,0,7,1,0,0,10,4,14,2,0,0,5,0,13,0,0,4,2,1,0,0,0,0,5,0,4,0,16,8,0,0,7,1,30,4,2,0,23,1,900,,,,,"chs",1,0,0,1,175,105
"16","CIS","Cicero Public Library","XBR","https://catalog.swanlibraries.net/cis","January",2013,168,"cis",10725,10017,1653,151,0,22546,0.00852699281487583,"CIS Cicero",10,12,24,25,0,8,2,28,28,40,26,13,4,2,3,33,2,21,4,15,1,67,4,0,0,0,48,13,17,7,0,0,7,4,45,10,7,4,3,1,89,5,11,2,136,28,22,51,48,5,21,14,0,0,24,8,10,26,29,17,0,23,4,27,2,14,4,28,24,21,4,29,3,58,8,100,28,0,1,41,16,22,7,15,3,0,0,23,4,8,2,0,0,29,2,36,17,10,0,31,4,6,13,5,0,87,9,106,32,46,9,19,3,5,31,3,19,10,4,1,2,2,15,8,3,0,20,4,16,5,0,0,8,18,24,10,3,0,20,6,26,3,0,13,5,3,0,4,0,0,16,8,2,2,44,57,0,0,8,3,82,22,1,4,70,18,2695,,,,,,,,,,592,409
"17","CNS","Clarendon Hills Public Library","XBR","https://catalog.swanlibraries.net/cns","January",2013,4,"cns",1809,1555,247,18,0,3629,0.00137250319015277,"CNS Clarendon Hills",18,1,13,6,0,4,2,13,1,7,1,4,0,5,2,4,0,9,4,4,1,14,3,0,0,0,13,2,6,2,6,2,0,0,12,0,3,3,3,1,37,4,9,1,41,9,9,0,25,1,6,3,0,0,10,3,17,1,9,0,0,2,1,7,0,4,2,18,3,2,0,11,1,11,3,25,2,1,0,22,1,8,2,8,1,0,0,8,1,7,0,0,0,6,0,20,3,4,0,6,0,1,1,6,0,36,4,36,8,28,2,7,0,2,7,2,5,4,7,1,1,0,4,2,1,0,8,2,5,2,0,0,2,0,7,1,0,1,6,2,3,0,0,4,1,2,0,2,0,0,11,1,1,0,13,4,0,0,7,1,22,5,7,0,25,2,856,,,,,,,,,,162,21
"18","CRS","Chicago Ridge Public Library","XBR","https://catalog.swanlibraries.net/crs","January",2013,78,"crs",5420,5284,1135,157,2,11998,0.00453769448207577,"CRS Chicago Ridge",13,4,19,11,0,3,1,11,2,21,3,6,2,3,1,6,0,15,1,1,2,40,1,0,0,0,19,3,7,2,18,8,3,2,0,0,6,2,5,0,48,0,8,0,65,13,12,7,27,1,8,2,0,0,21,1,15,2,22,3,0,10,1,15,2,4,1,22,7,4,2,12,2,33,4,53,6,3,1,22,4,15,3,7,3,1,0,10,0,5,0,0,0,9,0,19,4,3,0,6,0,1,0,7,0,58,2,60,8,31,6,6,4,1,15,1,15,6,0,1,1,1,9,1,0,0,11,4,9,3,0,0,7,1,9,3,4,0,8,2,5,1,0,9,0,1,1,4,0,0,10,3,1,1,28,10,0,0,8,2,38,3,1,2,30,6,1248,,,,,"crs",39,0,0,39,414,57
"19","CTS","Crete Public Library District","XBR","https://catalog.swanlibraries.net/cts","January",2013,533,"cts",4260,3908,1272,113,1,9554,0.00361336331736555,"CTS Crete",19,2,16,4,0,4,3,6,7,19,5,3,1,7,0,16,3,13,1,4,2,26,2,0,0,0,34,8,11,3,18,3,6,2,18,6,0,0,4,1,64,2,11,1,83,14,17,10,37,6,14,5,0,0,29,2,17,3,21,5,0,19,3,10,1,12,2,16,8,5,0,6,1,21,8,60,9,2,2,23,12,18,4,3,1,3,0,13,0,8,1,1,0,9,1,23,7,5,1,11,1,6,4,4,2,65,3,52,12,28,4,5,4,2,28,1,11,4,5,2,2,0,11,2,1,0,13,3,4,1,0,0,5,2,24,6,1,2,8,1,8,3,0,8,3,6,3,5,3,0,15,10,0,0,26,11,0,0,7,2,23,8,6,4,50,11,1488,,,,,"cts",236,0,0,236,700,51
"20","CWS","Crestwood Public Library District","XBR","https://catalog.swanlibraries.net/cws","January",2013,8,"cws",2161,2018,405,32,0,4616,0.00174579077590113,"CWS Crestwood",9,2,9,3,0,4,1,6,3,4,2,2,1,1,1,8,1,7,2,2,1,18,6,0,0,0,12,2,0,3,5,1,0,0,9,5,3,3,0,0,29,9,5,2,36,7,5,6,13,0,7,3,0,0,2,4,2,4,17,3,0,2,1,2,0,3,1,9,2,2,2,7,0,10,1,27,10,1,2,17,3,6,2,2,2,0,0,2,0,5,2,0,0,4,4,7,2,0,1,4,3,2,4,4,1,33,0,25,2,16,4,11,1,6,8,0,6,2,1,1,0,1,2,5,0,1,6,4,2,1,0,0,4,4,10,1,0,1,2,2,7,2,0,5,1,0,2,2,2,0,6,5,1,1,16,9,0,0,3,2,16,1,0,0,19,6,717,,,,,,,,,,133,18
