"","LibID","Library","ILDSDeliveryStop","CatalogLink","Month","Year","BibsAdded","ITEM.LOC.CODE","CHKOUTS","CHKINS","RENEWALS","HOLDS","Hl.RECLL","TOTAL..","PERCENT","BorrowingLibrary","ads","adsj","ams","amsj","bbs","bcs","bcsj","bfs","bfsj","bis","bisj","bks","bksj","bps","bpsj","brs","brsj","bvs","bvsj","bws","bwsj","bys","bysj","bzs","cas","casj","ccs","ccsj","chs","chsj","cis","cisj","cns","cnsj","crs","crsj","cts","ctsj","cws","cwsj","dgs","dgsj","dos","dosj","ehs","ehsj","eps","epsj","ess","essj","evs","evsj","fbs","fbsj","fms","fmsj","fps","fpsj","frs","frsj","gas","gps","gpsj","gws","gwsj","has","hasj","hds","hdsj","hks","hksj","hss","hssj","hws","hwsj","ins","insj","jds","jdsj","lgs","lgsj","lps","lpsj","lys","lysj","mas","max","mcs","mcsj","mds","mdsj","mks","mls","mps","mpsj","mts","mtsj","mws","mwsj","nls","nlsj","nrs","nrsj","oes","oesj","ols","olsj","ops","opsj","ors","orsj","ozs","ozsj","pcs","pfs","pfsj","phs","phsj","pps","ppsj","pss","pssj","pts","ptsj","rds","rdsj","rfs","rfsj","rgs","rgsj","ros","rosj","rps","rpsj","rss","rssj","sas","sasj","sfs","sfsj","shs","shsj","sls","sps","spsj","sts","stsj","svs","svsj","tbs","tfs","tfsj","ths","thsj","tps","tpsj","ttr","tts","wcs","wcsj","wms","wmsj","wos","wosj","wrs","wrsj","ILL","czs","czsj","bzsj","mjs","LOCATION","INTL.USE.","COPY.USE","IUSE3","TOTAL","ItemsAdded","PatronsAdded"
"264","CHS","Chicago Heights Public Library","XBR","https://catalog.swanlibraries.net/chs","April",2013,80,"chs",2363,2487,626,91,3,5570,0.00239339817422821,"CHS Chicago Heights",6,0,10,4,0,4,0,8,4,12,3,5,2,0,2,10,0,4,1,2,0,10,2,0,0,0,20,1,0,0,14,3,0,1,8,2,8,0,11,1,27,1,5,2,38,8,14,10,29,0,11,0,0,0,11,3,8,3,12,2,0,5,3,11,0,6,0,13,0,9,0,11,1,22,12,26,8,0,0,16,3,10,1,3,0,1,0,12,1,0,0,1,,8,2,15,1,3,0,9,3,2,0,2,0,48,0,50,9,0,0,4,1,1,12,0,8,3,2,0,1,0,7,2,0,0,7,1,7,0,0,0,15,7,8,2,2,0,3,0,9,0,0,5,0,2,1,0,1,0,14,1,1,0,18,9,0,0,6,1,25,4,0,0,28,3,,,,,,,,,,,141,90
"265","CIS","Cicero Public Library","XBR","https://catalog.swanlibraries.net/cis","April",2013,139,"cis",9716,9588,1929,121,0,21354,0.00917569562162824,"CIS Cicero",16,19,26,13,0,4,0,20,20,35,22,15,2,1,1,25,4,16,2,12,0,48,8,0,0,0,31,11,12,4,0,0,2,6,21,2,13,3,6,1,78,15,11,7,95,28,28,45,60,14,17,6,0,0,23,7,20,12,19,15,0,11,6,26,0,12,0,21,15,15,1,20,2,41,10,69,29,2,2,41,13,42,2,17,22,1,0,24,3,16,2,1,,22,5,39,14,4,0,39,8,6,7,8,1,89,6,76,29,0,0,18,4,4,28,5,15,15,2,1,0,1,18,5,1,1,8,3,13,3,0,0,14,8,12,2,4,1,18,4,18,3,0,10,6,3,5,4,0,0,17,16,1,1,28,42,0,0,7,4,67,12,3,2,74,11,,,,,,,,,,,611,461
"266","CNS","Clarendon Hills Public Library","XBR","https://catalog.swanlibraries.net/cns","April",2013,6,"cns",1809,1894,340,14,0,4057,0.00174327044754827,"CNS Clarendon Hills",9,2,11,4,0,2,3,15,4,9,2,1,1,9,1,4,0,6,2,3,0,16,0,0,0,0,12,3,5,0,4,3,0,0,14,3,8,3,1,2,33,6,6,2,36,7,10,2,18,0,9,0,0,0,17,5,15,0,24,2,0,5,1,4,1,4,3,19,6,4,1,9,0,22,3,20,4,5,0,18,1,14,0,5,1,2,0,8,0,9,1,0,,8,0,19,1,0,0,9,2,0,0,3,1,35,6,23,5,0,0,6,1,1,4,1,7,4,4,0,1,0,8,2,0,1,11,0,4,1,0,0,2,3,8,3,0,0,1,0,7,2,0,5,1,1,0,2,0,0,7,3,0,0,10,8,0,0,6,0,16,2,4,0,23,3,,,,,,,,,,,552,43
"267","CRS","Chicago Ridge Public Library","XBR","https://catalog.swanlibraries.net/crs","April",2013,217,"crs",4824,5142,1218,115,0,11299,0.0048551177685107,"CRS Chicago Ridge",17,2,16,5,0,5,0,11,3,12,3,2,0,5,2,10,1,10,1,2,2,18,0,0,0,0,28,5,2,3,13,0,1,0,0,0,4,0,2,2,42,3,4,0,41,10,12,9,33,5,10,9,0,0,10,2,7,0,14,9,0,16,2,7,0,14,8,9,6,3,0,7,2,20,3,46,8,1,0,16,5,12,1,8,0,1,0,10,0,4,3,0,,19,2,15,7,2,0,10,0,4,3,1,1,53,7,46,10,0,0,13,5,2,13,2,13,5,1,1,2,0,19,6,3,0,6,1,4,2,0,0,6,2,10,0,0,0,5,2,8,2,0,5,3,2,4,1,0,0,9,2,4,0,17,10,0,0,5,1,38,1,0,0,28,5,,,,,,"crs",51,0,0,51,709,51
"268","CTS","Crete Public Library District","XBR","https://catalog.swanlibraries.net/cts","April",2013,1006,"cts",3903,3929,1350,72,0,9254,0.00397639258605169,"CTS Crete",12,9,20,9,0,4,1,17,6,9,9,8,0,4,1,7,2,14,1,6,1,25,2,0,0,0,30,6,6,3,19,6,4,4,14,0,0,0,3,2,66,9,11,2,61,16,22,9,24,9,13,2,0,0,22,1,14,5,23,6,0,16,0,15,1,8,0,21,6,1,0,11,1,29,3,47,9,3,1,14,7,16,6,10,0,1,0,9,1,11,2,0,,5,0,21,8,4,0,13,8,1,4,3,2,37,1,41,13,1,0,9,5,6,16,4,14,3,6,1,2,2,4,3,1,0,19,4,5,4,0,0,6,6,16,6,4,0,4,1,9,1,0,7,3,0,2,3,0,0,18,6,0,0,26,11,0,0,10,0,27,6,3,2,40,12,,,,,,"cts",96,0,0,96,1142,33
"269","CWS","Crestwood Public Library District","XBR","https://catalog.swanlibraries.net/cws","April",2013,467,"cws",2045,2064,459,22,0,4590,0.00197229759779309,"CWS Crestwood",7,1,4,3,0,1,2,4,5,9,2,3,0,2,0,7,1,2,0,5,1,13,3,0,0,0,6,1,2,0,8,2,0,0,5,2,5,1,0,0,35,4,3,2,19,9,11,4,12,2,9,2,0,0,4,2,6,0,6,2,0,4,4,2,1,4,1,10,1,3,1,3,0,10,3,22,8,1,1,5,0,7,0,2,0,1,0,3,0,1,1,0,,1,1,13,4,2,0,5,1,3,2,4,0,31,3,14,5,0,0,5,1,1,8,0,4,1,1,0,1,0,2,1,0,1,4,2,2,0,0,0,0,0,1,5,1,1,5,1,4,0,0,4,2,0,1,1,1,0,8,1,2,0,10,8,0,0,4,3,18,3,0,1,23,3,,,,,,,,,,,743,23
"270","DGS","Downers Grove Public Library","XBR","https://catalog.swanlibraries.net/dgs","April",2013,650,"dgs",34603,36373,5047,811,5,76839,0.0330172930537741,"DGS Downers Grove",70,18,61,17,0,32,10,78,15,69,26,20,3,30,7,30,2,32,6,17,4,131,15,0,0,0,133,29,46,8,68,28,24,6,82,12,44,17,25,7,0,0,42,3,358,57,60,30,172,12,85,15,0,0,65,10,60,17,93,17,0,53,9,52,9,33,6,110,21,26,12,57,6,141,21,241,31,10,5,118,15,74,15,32,6,2,0,39,0,47,9,0,,56,6,90,28,11,0,59,8,17,6,38,6,306,20,274,36,0,0,63,10,19,89,8,79,15,17,5,4,0,48,11,5,1,49,7,23,1,0,0,22,6,70,17,14,2,41,12,45,1,0,30,7,8,4,11,2,0,65,8,17,1,131,41,0,1,41,10,177,14,27,8,239,37,,,,,,,,,,,1332,141
"271","DOS","Dolton Public Library District","XBR","https://catalog.swanlibraries.net/dos","April",2013,48,"dos",1958,1929,693,78,1,4659,0.00200194651592985,"DOS Dolton",1,0,5,0,0,2,2,4,0,9,0,4,0,0,0,15,0,4,0,7,0,10,0,0,0,0,15,0,7,0,8,0,0,0,3,0,3,0,3,0,19,0,0,0,22,4,4,6,17,0,8,0,0,0,5,0,5,0,3,1,0,10,0,7,1,2,1,5,0,6,0,3,0,18,0,15,2,0,0,4,1,2,0,0,0,1,0,4,0,5,0,0,,1,0,20,0,2,0,5,0,1,0,2,0,22,1,19,1,0,0,2,1,0,8,0,1,0,0,0,1,0,4,0,0,0,1,0,2,0,0,0,7,0,5,1,0,1,5,0,3,1,0,3,2,1,0,0,0,0,7,2,2,0,9,3,0,0,4,0,12,1,2,0,16,0,,,,,,,,,,,303,95
"272","EPS","Elmwood Park Public Library","XBR","https://catalog.swanlibraries.net/eps","April",2013,20,"eps",3043,3125,933,47,0,7148,0.00307145604118192,"EPS Elmwood Park",37,4,29,8,0,5,1,21,11,26,12,7,0,4,3,16,1,12,0,7,2,38,5,0,0,0,34,11,10,1,22,11,2,4,21,4,13,5,3,3,93,9,14,1,115,25,0,0,57,8,22,7,0,0,27,8,27,3,22,5,0,18,4,24,3,11,0,32,8,7,3,13,2,41,6,82,18,5,3,22,5,23,6,7,2,1,0,29,3,13,3,0,,17,2,34,12,4,0,24,1,9,2,11,1,96,6,87,19,0,0,13,7,4,35,5,21,9,7,4,1,0,8,3,3,0,21,3,15,3,0,0,4,2,16,4,5,0,8,1,11,4,0,13,7,2,1,5,0,0,17,13,1,2,22,18,0,1,16,6,64,5,2,1,70,15,,,,,,,,,,,1000,88
"273","ESS","Eisenhower Public Library District","XBR","https://catalog.swanlibraries.net/ess","April",2013,73,"ess",11957,12688,4162,660,2,29469,0.0126626662111905,"ESS Eisenhower",30,4,50,11,0,13,1,33,11,31,6,14,4,7,0,9,1,22,2,12,2,53,3,0,0,0,53,8,7,3,47,5,7,3,31,4,9,11,6,1,122,15,16,2,154,23,39,14,0,0,37,5,0,0,27,6,25,6,31,10,0,21,3,21,1,18,6,43,20,10,3,19,3,63,5,137,19,12,2,47,17,26,5,22,1,1,0,34,1,16,0,1,,26,4,42,14,6,0,38,4,10,3,8,5,133,4,124,18,0,0,16,7,5,40,2,27,8,7,2,1,2,23,10,3,3,21,1,10,7,0,0,12,2,21,10,0,0,10,1,13,1,0,15,3,9,1,5,0,0,23,3,1,0,53,23,0,0,20,5,76,7,7,0,92,16,,,,,,,,,,,354,79
"274","EVS","Evergreen Park Public Library","XBR","https://catalog.swanlibraries.net/evs","April",2013,646,"evs",4854,5072,740,153,1,10820,0.00464929411941639,"EVS Evergreen Park",24,2,16,4,0,11,3,18,2,20,9,7,1,6,3,5,4,13,2,6,1,25,1,1,0,0,29,7,4,1,18,4,5,2,25,7,5,3,5,1,51,7,18,5,74,9,20,7,38,3,0,0,0,0,16,5,11,8,12,6,0,7,3,6,2,5,1,20,9,9,2,8,1,24,12,50,9,3,0,19,9,17,2,8,3,0,0,8,1,5,1,0,,9,2,28,10,3,0,9,4,5,4,4,3,67,7,62,12,0,0,9,3,3,24,1,12,2,5,2,2,1,8,0,2,0,8,1,3,3,0,0,7,13,9,4,3,1,3,2,9,2,0,5,8,2,6,5,0,0,16,5,4,2,20,12,0,0,7,1,38,6,5,3,55,16,,,,,,,,,,,944,51
"275","FMS","Flossmoor Public Library","XBR","https://catalog.swanlibraries.net/fms","April",2013,1198,"fms",6836,7160,1328,96,1,15421,0.00662631835633273,"FMS Flossmoor",17,0,27,3,0,11,0,22,3,18,1,9,2,10,0,13,1,13,1,8,0,30,3,0,0,0,45,2,11,3,24,7,10,1,27,4,8,3,7,0,71,2,9,2,109,14,12,6,30,7,28,1,0,0,0,0,15,3,36,2,0,7,1,10,2,8,0,25,2,5,0,11,0,50,4,73,1,7,1,38,4,19,3,7,1,0,0,12,0,9,1,1,,11,3,31,4,5,0,8,1,4,1,7,1,77,4,68,5,0,0,22,3,4,32,2,15,3,12,1,2,0,17,5,3,0,18,1,8,0,0,0,5,0,25,1,5,1,18,1,7,2,0,5,2,0,3,2,1,0,17,0,4,1,37,8,0,0,5,1,49,1,6,1,43,4,,,,,,"fms",18,0,0,18,1575,25
"276","FPD","Franklin Park Public Library District","XGV","http://lnco.ent.sirsi.net/client/franklinpark","April",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"277","FPS","Forest Park Public Library","XBR","https://catalog.swanlibraries.net/fps","April",2013,62,"fps",5762,5930,1428,95,3,13218,0.0056797014482852,"FPS Forest Park",16,3,15,2,0,2,3,19,6,17,4,2,1,3,0,17,0,14,3,4,0,21,8,0,0,0,27,2,8,1,8,6,13,0,23,1,7,1,2,1,63,3,9,2,74,17,10,10,40,3,12,3,0,0,18,3,0,0,22,3,0,11,2,14,1,10,0,21,8,4,2,12,0,20,1,65,6,4,2,28,7,13,2,8,1,0,0,16,2,9,2,0,,9,2,31,7,2,0,20,2,6,1,2,0,68,3,56,12,0,0,15,2,1,22,1,19,1,3,0,2,0,13,2,4,1,15,1,9,0,0,0,13,1,24,1,2,0,8,1,5,0,0,8,1,1,0,6,3,0,9,1,2,1,28,15,0,0,7,1,20,1,2,2,46,2,,,,,,,,,,,222,78
"278","FRS","Frankfort Public Library District","XBR","https://catalog.swanlibraries.net/frs","April",2013,589,"frs",8414,8803,1524,169,5,18915,0.00812767081966368,"FRS Frankfort",36,3,43,11,0,15,1,36,20,34,16,19,3,9,3,19,1,27,8,12,2,56,5,0,3,0,50,11,13,3,39,9,8,1,33,6,22,5,18,2,146,9,30,4,143,27,25,14,57,14,41,7,0,0,43,8,27,9,0,0,0,25,4,28,2,11,3,50,16,11,2,25,5,69,11,128,13,8,2,40,9,32,1,16,2,3,0,17,1,26,1,0,,23,2,35,18,9,0,21,2,5,3,7,3,145,18,121,24,1,0,18,6,5,45,5,29,11,15,1,0,0,32,6,0,1,29,9,8,0,1,0,16,8,29,6,6,1,11,7,23,3,0,21,8,7,0,5,1,0,39,2,3,2,73,19,0,1,18,4,58,11,7,4,111,19,,,,,,,,,,,1137,85
"279","GAS","Glenwood-Lynwood Public Library District -- Bookmobile","XBR","https://catalog.swanlibraries.net/gws","April",2013,1,"gas",64,64,19,0,0,147,6.31650864652689e-05,"GAS Glenwood-Lynwood bookmobile",1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,6,
"280","GPS","Grande Prairie Public Library District","XBR","https://catalog.swanlibraries.net/gps","April",2013,507,"gps",4074,4011,696,132,1,8914,0.00383029646769664,"GPS Grande Prairie",11,3,18,4,0,2,1,16,7,19,12,5,0,2,0,25,2,9,1,10,0,33,7,0,0,0,38,4,5,0,19,3,0,0,15,3,6,5,1,0,60,9,9,2,65,8,15,10,28,3,20,3,0,0,20,2,18,4,16,8,0,0,0,18,0,7,0,13,7,5,2,7,0,44,2,44,1,2,1,8,4,11,1,6,0,0,0,13,0,10,2,1,,10,1,45,11,5,0,17,4,3,1,5,0,59,0,61,12,0,0,4,1,20,28,0,8,7,0,0,2,1,6,6,4,0,7,0,3,1,0,0,9,4,13,1,3,0,5,1,12,1,0,5,1,0,0,5,1,0,9,3,2,1,40,17,0,0,7,1,30,4,2,1,45,7,,,,,,,,,,,815,76
"281","GWS","Glenwood-Lynwood Public Library District","XBR","https://catalog.swanlibraries.net/gws","April",2013,588,"gws",1526,1458,342,19,1,3346,0.00143775768239993,"GWS Glenwood-Lynwood",13,2,12,4,0,7,1,12,2,25,7,3,0,1,0,16,0,11,0,13,1,29,6,0,0,0,35,2,11,4,18,0,3,0,12,0,12,0,8,0,44,6,6,1,58,13,9,3,25,5,10,3,0,0,13,1,16,2,21,0,0,25,1,0,0,13,2,20,2,2,0,9,1,46,3,33,5,3,0,13,3,9,1,6,1,0,0,10,4,9,1,1,,4,0,34,0,4,0,7,0,6,2,2,0,62,3,30,12,0,0,13,0,1,16,1,14,5,4,0,1,0,13,2,3,1,2,0,3,1,0,0,9,8,7,2,2,1,4,5,15,1,0,8,3,2,0,2,0,0,13,0,1,1,14,12,0,0,7,2,23,3,1,0,43,6,,,,,,"gws",90,0,0,90,599,89
"282","HAS","Harvey Public Library District","XBR","https://catalog.swanlibraries.net/has","April",2013,31,"has",2108,2047,370,56,0,4581,0.00196843034760134,"HAS Harvey",4,0,12,4,0,2,0,6,0,7,0,0,0,2,1,4,0,4,0,3,3,8,0,0,0,0,22,1,3,0,5,0,3,0,4,2,2,1,0,0,14,0,3,0,23,1,2,4,4,0,6,1,0,0,4,1,8,0,2,1,0,9,0,2,0,0,0,6,0,3,0,5,0,11,2,13,0,0,0,9,0,3,1,3,0,1,0,3,0,3,0,1,,2,1,12,0,1,0,3,0,0,0,1,0,22,0,19,0,0,1,4,0,2,8,1,1,1,0,1,0,0,0,0,1,0,3,0,0,1,0,0,5,0,4,0,2,0,0,0,7,0,0,4,0,2,0,2,0,0,2,0,0,0,6,5,0,0,1,0,9,0,0,0,16,1,,,,,,,,,,,322,74
"283","HDS","Hinsdale Public Library","XBR","https://catalog.swanlibraries.net/hds","April",2013,240,"hds",7663,8247,1983,262,2,18157,0.00780196241462508,"HDS Hinsdale",26,6,25,8,0,9,3,20,14,28,13,2,4,7,3,5,1,9,4,5,0,50,7,0,0,0,44,15,18,2,26,12,8,7,24,5,19,15,4,6,90,20,12,4,104,40,23,13,61,9,14,6,0,0,30,3,27,8,36,10,0,19,6,21,8,9,1,0,0,8,2,16,6,42,13,82,23,6,2,42,10,29,5,13,4,1,0,12,1,11,11,0,,14,6,38,10,3,0,19,2,4,7,15,6,77,16,95,28,0,0,19,10,5,22,7,24,7,8,1,0,0,24,6,0,1,17,7,9,2,0,0,6,1,26,9,0,2,9,3,11,3,0,6,6,2,2,5,1,0,24,5,5,2,44,19,0,0,11,5,54,12,3,2,60,11,,,,,,"hds",99,0,170,269,523,52
"284","HKS","Hodgkins Public Library District","XBR","https://catalog.swanlibraries.net/hks","April",2013,33,"hks",1483,1604,446,65,0,3598,0.00154604068776896,"HKS Hodgkins",3,2,1,1,0,3,0,4,3,2,1,0,0,1,0,1,0,1,0,0,0,5,1,0,0,0,9,3,1,2,7,1,0,2,0,0,4,0,3,0,9,0,5,1,13,7,3,2,4,0,7,1,0,0,3,1,0,1,4,2,0,3,2,0,0,3,0,3,2,0,0,3,0,4,1,18,2,0,0,2,2,1,2,1,2,0,0,0,0,2,1,0,,3,0,6,1,0,0,3,0,1,0,2,0,12,0,8,2,0,0,2,1,0,4,2,3,1,0,0,0,0,2,2,0,1,2,0,3,0,0,0,2,0,2,2,1,0,1,0,2,0,0,0,0,3,0,0,0,0,3,0,1,0,13,0,0,0,4,0,8,2,1,2,14,1,,,,,,,,,,,11,6
"285","HSS","Hillside Public Library","XBR","https://catalog.swanlibraries.net/hss","April",2013,373,"hss",3631,3875,456,67,0,8029,0.00345001686550778,"HSS Hillside",8,1,8,1,0,3,1,7,1,7,1,4,0,0,0,3,0,6,0,3,1,19,0,0,0,0,19,2,2,0,13,3,1,1,10,0,1,0,1,0,15,2,8,0,36,11,4,8,8,0,8,2,0,0,8,0,6,5,6,2,0,10,1,2,0,4,0,9,7,4,0,0,0,8,1,19,6,1,0,13,2,6,1,3,2,0,0,7,0,2,0,0,,4,0,7,5,1,0,9,0,2,1,1,1,22,1,15,5,0,0,1,2,3,11,1,9,2,2,1,1,0,4,0,0,0,7,4,26,0,0,0,3,0,7,2,1,0,0,0,1,1,0,5,0,1,1,0,0,0,5,0,1,0,4,11,0,0,2,1,15,2,1,0,22,5,,,,,,"hss",3,0,0,3,751,21
"286","HWS","Homewood Public Library District","XBR","https://catalog.swanlibraries.net/hws","April",2013,722,"hws",13819,14175,3218,408,5,31625,0.0135890874793478,"HWS Homewood",41,4,43,6,0,19,3,23,8,47,6,10,4,15,4,34,2,29,7,16,1,45,4,0,0,0,79,12,30,11,50,9,15,7,50,5,24,5,15,2,129,10,27,3,155,40,29,29,47,18,34,6,0,0,48,7,40,8,48,7,0,29,6,29,2,19,3,53,21,15,4,19,2,0,0,106,13,11,2,52,11,39,6,17,2,2,0,26,2,26,5,1,,25,7,54,22,9,2,27,8,11,10,6,8,130,17,117,26,1,0,23,3,12,51,8,37,20,9,7,2,1,16,5,9,1,27,5,12,3,0,0,12,3,38,8,4,2,18,6,24,1,0,22,4,3,4,5,1,0,35,9,8,3,73,28,0,1,22,5,79,15,7,1,89,18,,,,,,,,,,,895,77
"287","INS","Indian Prairie Public Library District","XBR","https://catalog.swanlibraries.net/ins","April",2013,445,"ins",31604,33716,5513,549,8,71390,0.0306758879099017,"INS Indian Prairie",73,17,66,28,0,16,6,70,27,60,22,20,5,28,8,28,5,51,6,22,4,126,17,1,0,0,104,28,21,19,63,21,18,8,67,8,43,10,24,9,254,41,32,1,256,49,49,29,107,14,57,16,0,0,46,11,64,14,80,21,0,40,6,35,5,31,1,97,26,21,9,47,8,131,21,0,0,11,1,108,17,81,7,26,5,3,0,54,3,24,7,1,,32,4,86,22,10,1,61,8,24,7,28,8,230,20,230,52,0,0,32,15,14,87,10,73,19,14,9,4,0,39,16,0,0,55,8,25,8,0,0,21,9,57,16,7,4,20,10,37,6,0,36,12,15,8,7,3,0,66,20,11,3,103,52,0,1,38,10,142,25,15,3,193,44,,,,,,,,,,,529,144
"288","JDS","Justice Public Library District","XBR","https://catalog.swanlibraries.net/jds","April",2013,9,"jds",867,838,232,16,0,1953,0.000839193291610001,"JDS Justice",6,0,0,0,0,3,0,4,1,4,0,0,0,0,0,2,0,1,0,3,0,4,0,0,0,0,9,0,1,0,1,1,0,0,5,1,1,0,2,0,6,0,0,0,7,1,1,1,4,0,1,0,0,0,8,0,4,1,3,0,0,0,0,5,0,3,0,3,0,4,0,3,0,5,2,3,0,0,0,3,1,2,0,0,1,0,0,1,0,1,0,0,,0,0,4,0,0,0,2,1,1,0,1,0,10,0,10,2,0,0,1,1,1,1,0,2,0,0,0,1,0,2,0,0,0,1,0,4,0,0,0,1,0,1,1,0,0,2,0,3,0,0,1,0,1,0,2,0,0,0,0,0,0,5,1,0,0,0,0,3,1,0,0,7,0,,,,,,,,,,,72,51
"289","LGS","LaGrange Public Library","XBR","https://catalog.swanlibraries.net/lgs","April",2013,572,"lgs",7621,8157,2002,162,2,17944,0.0077104374934203,"LGS La Grange",46,4,32,12,0,9,11,38,11,25,10,9,3,15,1,22,3,21,2,9,3,59,8,0,0,0,55,13,15,5,34,6,7,4,27,5,18,6,8,2,131,20,23,2,138,27,37,13,42,13,36,12,0,0,36,3,21,6,33,5,0,21,6,20,6,13,5,44,14,9,4,21,4,53,10,97,10,3,1,0,0,34,10,12,1,0,0,25,5,9,3,0,,18,2,45,25,5,0,22,4,9,7,11,2,114,12,90,23,0,0,22,7,5,35,3,26,19,3,3,1,3,21,5,2,1,13,5,9,4,0,0,9,1,37,10,4,1,14,7,12,1,0,12,5,5,3,8,3,0,33,7,3,2,35,24,0,2,11,1,83,17,10,3,75,15,,,,,,,,,,,924,47
"290","LPS","LaGrange Park Public Library District","XBR","https://catalog.swanlibraries.net/lps","April",2013,573,"lps",5795,6085,1534,192,0,13606,0.00584642290099625,"LPS La Grange Park",26,3,33,2,0,8,1,23,10,34,2,7,3,10,1,19,2,23,2,5,1,56,1,0,0,0,34,8,10,5,31,0,17,5,41,4,16,5,11,1,119,11,14,1,114,18,25,14,64,1,31,2,0,0,42,2,27,4,47,5,0,16,0,13,0,16,1,56,4,8,1,19,1,47,2,94,6,5,1,58,5,0,0,17,1,1,0,21,4,13,3,0,,22,2,36,6,3,1,18,1,7,5,16,2,104,7,112,17,0,0,19,2,8,23,3,28,5,10,2,1,2,17,6,1,0,18,1,16,2,0,0,6,0,32,6,1,0,16,3,18,0,0,19,1,3,2,4,0,0,35,3,5,0,38,7,0,0,28,2,53,4,11,2,71,3,,,,,,"lps",24,0,0,24,951,48
"291","LSS","Lansing Public Library","XBR","https://swanlibs.ent.sirsi.net/client/en_US/lss/","April",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
"292","LYS","Lyons Public Library","XBR","https://catalog.swanlibraries.net/lys","April",2013,584,"lys",2574,2703,376,36,0,5689,0.00244453181565248,"LYS Lyons",4,1,5,3,0,0,0,4,4,6,2,0,0,2,1,1,1,5,0,2,2,8,0,1,0,0,10,3,2,1,14,0,3,0,5,3,5,3,3,0,12,6,3,1,19,4,2,6,6,1,4,0,0,0,4,1,3,3,9,2,0,2,0,5,0,2,0,4,5,3,0,5,3,9,1,12,1,0,1,3,2,0,1,0,0,0,0,4,0,4,1,0,,5,0,2,1,1,0,9,3,2,2,0,1,18,1,13,4,0,0,0,1,2,5,1,1,4,0,0,0,0,1,4,1,1,3,0,1,0,0,0,0,2,4,3,0,2,3,0,8,4,0,4,2,0,0,0,0,0,2,5,0,0,5,8,0,0,4,1,20,2,2,0,20,4,,,,,,,,,,,747,28
"293","MAS","The Morton Arboretum -- Sterling Morton Library","XBR","https://catalog.swanlibraries.net/mas","April",2013,4,"mas",202,232,69,5,0,508,0.000218284788601065,"MAS Morton Arboretum",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,"mas",105,0,0,105,454,9
"294","MCS","McCook Public Library District","XBR","https://catalog.swanlibraries.net/mcs","April",2013,16,"mcs",1269,1351,148,168,1,2937,0.00126201264590813,"MCS McCook",0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,4,1,1,0,4,4,0,0,1,0,1,1,0,0,0,1,1,0,1,7,0,0,1,1,1,0,0,2,1,0,0,1,2,1,0,5,2,0,1,1,3,1,0,1,0,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,1,0,1,0,0,4,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,4,,,,,,,,,,,13,1
