"","LibID","Library","ILDSDeliveryStop","CatalogLink","Month","Year","BibsAdded","ITEM.LOC.CODE","CHKOUTS","CHKINS","RENEWALS","HOLDS","Hl.RECLL","TOTAL..","PERCENT","BorrowingLibrary","ads","adsj","ams","amsj","bbs","bcs","bcsj","bfs","bfsj","bis","bisj","bks","bksj","bps","bpsj","brs","brsj","bvs","bvsj","bws","bwsj","bys","bysj","bzs","cas","casj","ccs","ccsj","chs","chsj","cis","cisj","cns","cnsj","crs","crsj","cts","ctsj","cws","cwsj","dgs","dgsj","dos","dosj","eps","epsj","ess","essj","evs","evsj","fbs","fbsj","fms","fmsj","fps","fpsj","frs","frsj","gas","gps","gpsj","gws","gwsj","has","hasj","hds","hdsj","hks","hksj","hss","hssj","hws","hwsj","ins","insj","jds","jdsj","lgs","lgsj","lps","lpsj","lys","lysj","mas","max","mcs","mcsj","mds","mdsj","mks","mps","mpsj","mts","mtsj","mws","mwsj","nls","nlsj","nrs","nrsj","oes","oesj","ols","olsj","ops","opsj","ozs","ozsj","pcs","pfs","pfsj","phs","phsj","pps","ppsj","pss","pssj","pts","ptsj","rds","rdsj","rfs","rfsj","rgs","rgsj","ros","rps","rpsj","rss","rssj","sas","sasj","sfs","sfsj","shs","shsj","sls","sps","spsj","sts","stsj","svs","svsj","tbs","tfs","tfsj","ths","thsj","tps","tpsj","ttr","tts","wcs","wcsj","wms","wmsj","wos","wosj","wrs","wrsj","ILL","czs","czsj","rosj","bzsj","mjs","mls","ors","orsj","ehs","ehsj","LOCATION","INTL.USE.","COPY.USE","IUSE3","TOTAL","ItemsAdded","PatronsAdded"
"11","BYS","Berwyn Public Library","XBR","https://catalog.swanlibraries.net/bys","January",2014,"187","bys",13615,13275,2769,447,5,30111,0.015088354892779,"BYS Berwyn",38,9,25,9,0,3,6,31,13,42,13,9,4,5,10,32,6,21,3,5,2,0,0,0,0,0,65,2,7,6,31,15,4,2,28,8,19,16,6,6,121,28,10,3,21,21,70,5,14,14,0,0,24,8,20,7,38,15,0,21,6,16,3,33,3,31,11,14,6,13,6,56,13,99,18,5,9,56,13,27,6,29,1,0,0,28,0,12,4,0,17,1,37,12,25,0,24,4,11,3,8,5,137,10,101,27,13,8,2,53,5,19,8,3,3,3,0,21,9,1,1,10,2,9,5,0,14,7,32,12,10,4,15,6,11,4,0,15,8,4,4,12,1,0,21,17,1,0,50,36,0,2,22,7,70,13,7,6,49,25,2541,,,,,,,,,,,,,,,,400,110
"12","BZS","Brookfield Zoo -- Library","XBR","https://catalog.swanlibraries.net/bzs","January",2014,,"bzs",4,7,1,2,0,14,7.01527576297388e-06,"BZS Brookfield Zoo",0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,1,0,1,0,1,0,0,2,4,0,1,0,1,0,0,0,1,0,3,0,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,58,,,,,,,,,,,,,,,,,2
"13","CAS","Calumet Park Public Library","XBR","https://catalog.swanlibraries.net/cas","January",2014,,"cas",672,621,358,1,0,1652,0.000827802540030917,"CAS Calumet Park",2,0,6,0,0,1,0,3,0,1,0,1,0,0,0,6,0,2,0,1,0,9,0,0,0,0,9,0,2,0,2,1,1,0,2,0,1,0,1,0,8,0,1,0,2,2,5,0,9,0,0,0,8,0,4,0,3,0,0,3,0,1,0,3,0,3,1,0,0,2,0,6,0,10,0,2,0,3,1,3,0,1,0,0,0,4,0,4,0,0,1,0,5,0,2,0,1,0,0,0,0,0,6,0,13,1,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,9,0,0,0,3,0,8,0,0,0,5,0,213,,,,,,,,,,,,,,,,47,14
"14","CCS","Calumet City Public Library","XBR","https://catalog.swanlibraries.net/ccs","January",2014,"257","ccs",6186,5667,1675,372,3,13903,0.00696666992375899,"CCS Calumet City",14,0,23,0,0,3,1,10,3,15,2,5,0,2,1,6,1,6,0,12,0,35,1,0,0,0,0,0,4,0,16,2,1,0,12,1,6,0,3,0,42,1,3,1,9,8,28,2,7,4,0,0,11,0,9,3,16,0,0,5,2,7,0,3,0,16,3,7,0,6,0,15,1,27,3,7,0,11,0,13,0,9,0,0,0,3,1,12,0,0,4,0,21,0,1,0,7,0,3,1,0,1,44,0,42,1,8,0,4,23,5,6,3,3,1,1,0,4,0,2,0,7,1,3,1,0,3,2,5,2,0,0,0,0,7,0,0,9,0,3,1,3,0,0,11,1,0,0,23,8,0,0,11,2,18,0,2,0,33,1,822,,,,,,,,,,,,,,,,953,59
"15","CHS","Chicago Heights Public Library","XBR","https://catalog.swanlibraries.net/chs","January",2014,"78","chs",1574,1532,503,124,1,3734,0.00187107426421032,"CHS Chicago Heights",4,1,5,0,0,2,0,7,4,7,0,1,0,1,1,5,1,3,0,2,2,11,0,0,0,0,29,1,0,0,8,4,2,3,7,0,4,0,4,0,39,4,5,0,8,8,25,4,3,2,0,0,7,1,6,1,11,2,0,7,1,2,1,2,0,9,4,2,0,9,2,16,2,21,2,1,0,7,4,10,2,0,0,0,0,4,0,1,0,0,5,0,20,3,0,0,4,1,2,0,3,0,33,4,32,4,5,1,3,12,2,9,4,1,1,0,1,5,4,2,2,5,0,1,0,0,3,2,8,1,0,0,1,3,12,0,0,4,0,0,1,1,0,0,10,0,2,0,16,11,0,0,5,0,12,3,2,1,25,5,651,,,,,,,,,,,,,,,,77,74
"16","CIS","Cicero Public Library","XBR","https://catalog.swanlibraries.net/cis","January",2014,"195","cis",8740,8388,1626,88,0,18842,0.00944155899471098,"CIS Cicero",12,2,20,16,0,1,2,26,22,37,12,9,1,4,4,20,3,14,1,6,2,69,4,0,0,0,44,4,11,1,0,0,1,3,16,5,9,5,1,4,81,13,9,1,19,32,59,7,12,5,0,0,20,5,17,20,33,7,0,17,5,18,3,5,1,24,12,10,4,18,3,41,20,65,30,5,2,32,15,26,4,19,2,0,0,20,1,5,6,1,12,4,16,10,5,0,31,5,5,1,6,6,92,16,63,24,14,1,5,28,7,10,7,3,0,1,0,20,7,0,0,9,2,5,4,0,6,12,12,5,3,0,12,1,18,2,0,21,2,6,1,0,3,0,9,9,1,2,31,36,0,0,12,5,42,20,3,1,64,21,1924,,,,,,,,,,,,,,,,909,254
"17","CNS","Clarendon Hills Public Library","XBR","https://catalog.swanlibraries.net/cns","January",2014,"15","cns",1907,1735,385,10,0,4037,0.00202290487536611,"CNS Clarendon Hills",12,2,13,7,0,2,2,23,2,10,2,3,1,10,2,4,0,6,2,4,1,28,4,0,0,0,13,2,9,3,12,2,0,0,10,5,2,2,0,1,54,5,3,4,6,4,22,1,14,3,0,0,13,4,25,2,8,1,0,6,1,4,1,4,1,14,6,3,2,7,4,17,6,45,6,1,5,19,2,12,1,8,2,0,0,5,4,5,4,0,5,3,14,6,0,0,1,5,1,1,10,0,40,6,45,11,7,0,4,12,3,7,7,2,0,0,0,9,1,0,0,11,1,7,1,0,4,1,10,4,2,2,9,3,5,0,0,6,7,3,0,0,1,0,15,7,0,0,30,15,0,0,9,3,21,1,2,1,24,5,975,,,,,,,,,,,,,,,,133,21
"18","CRS","Chicago Ridge Public Library","XBR","https://catalog.swanlibraries.net/crs","January",2014,"181","crs",4293,4270,1217,141,2,9923,0.0049723272425707,"CRS Chicago Ridge",12,3,13,5,0,2,1,8,11,16,3,6,1,2,1,10,2,8,3,2,2,36,1,0,0,0,34,9,6,2,18,10,3,2,0,0,10,5,6,1,64,6,6,0,7,9,22,7,12,3,0,0,9,3,6,5,15,1,0,17,3,12,0,7,0,23,5,8,1,7,0,31,5,49,11,1,1,17,7,10,3,7,3,0,0,5,0,11,2,0,6,4,20,4,1,0,9,2,4,4,12,2,61,10,35,23,11,4,1,17,3,19,4,8,1,0,1,9,4,0,0,9,0,10,1,0,2,3,13,3,0,1,8,0,7,2,0,10,1,3,3,2,0,0,10,0,2,0,23,7,0,0,12,3,28,6,1,1,18,5,1148,,,,,,,,,,,"crs",67,0,0,67,300,37
"19","CTS","Crete Public Library District","XBR","https://catalog.swanlibraries.net/cts","January",2014,"864","cts",3428,3117,1113,64,0,7722,0.00386942567440602,"CTS Crete",16,4,18,7,0,3,3,9,3,18,4,3,0,4,4,5,3,13,1,6,0,35,2,0,0,0,24,5,9,3,17,2,4,1,17,2,0,0,8,1,85,12,9,2,11,9,39,4,14,4,0,0,15,3,17,6,17,6,0,13,6,6,2,4,0,20,7,8,2,7,1,32,11,53,11,2,3,18,5,14,2,13,4,0,0,9,1,10,2,0,5,2,19,6,1,0,11,0,2,2,5,1,91,3,50,10,12,1,3,26,2,12,10,4,1,1,1,12,4,3,0,16,1,3,4,0,9,6,16,4,2,1,9,3,13,4,0,10,3,1,2,7,2,0,13,4,8,1,27,14,0,0,11,1,37,3,6,2,55,10,1381,,,,,,,,,,,"cts",120,0,0,120,1390,39
"20","CWS","Crestwood Public Library District","XBR","https://catalog.swanlibraries.net/cws","January",2014,"136","cws",1862,1786,382,29,1,4060,0.00203442997126242,"CWS Crestwood",4,5,11,3,0,3,1,6,1,3,1,3,0,2,0,3,0,1,3,2,0,10,2,0,0,0,17,2,3,1,6,2,0,1,7,0,4,2,0,0,15,4,1,1,3,4,11,4,7,0,0,0,4,3,5,4,9,0,0,6,1,2,1,2,2,8,2,3,1,3,3,18,5,16,1,2,0,8,7,10,0,4,1,0,0,7,0,4,2,0,4,2,3,5,0,0,1,2,1,0,3,2,19,6,20,4,5,2,0,7,1,6,3,3,0,0,1,3,3,0,0,4,0,4,0,0,6,0,2,4,1,0,2,0,1,2,0,1,0,1,0,0,0,0,12,1,1,0,22,13,0,0,2,2,14,0,3,0,14,5,526,,,,,,,,,,,,,,,,533,42
