"","LibID","Library","ILDSDeliveryStop","CatalogLink","Month","Year","BibsAdded","ITEM.LOC.CODE","CHKOUTS","CHKINS","RENEWALS","HOLDS","Hl.RECLL","TOTAL..","PERCENT","BorrowingLibrary","ads","adsj","ams","amsj","bbs","bcs","bcsj","bfs","bfsj","bis","bisj","bks","bksj","bps","bpsj","brs","brsj","bvs","bvsj","bws","bwsj","bys","bysj","bzs","cas","casj","ccs","ccsj","chs","chsj","cis","cisj","cns","cnsj","crs","crsj","cts","ctsj","cws","cwsj","dgs","dgsj","dos","dosj","eps","epsj","ess","essj","evs","evsj","fbs","fbsj","fms","fmsj","fps","fpsj","frs","frsj","gps","gpsj","gws","gwsj","has","hasj","hds","hdsj","hks","hksj","hss","hssj","hws","hwsj","ins","insj","jds","jdsj","lgs","lgsj","lps","lpsj","lys","lysj","mas","max","mcs","mcsj","mds","mdsj","mks","mps","mpsj","mts","mtsj","mws","mwsj","nls","nlsj","nrs","nrsj","oes","oesj","ols","olsj","ops","opsj","ozs","ozsj","pcs","pfs","pfsj","phs","phsj","pps","ppsj","pss","pssj","pts","ptsj","rds","rdsj","rfs","rfsj","rgs","rgsj","ros","rosj","rps","rpsj","rss","rssj","sas","sasj","sfs","sfsj","shs","shsj","sls","sps","spsj","sts","stsj","svs","svsj","tbs","tfs","tfsj","ths","thsj","tps","tpsj","ttr","tts","wcs","wcsj","wms","wmsj","wos","wosj","wrs","wrsj","ILL","czs","czsj","bzsj","mjs","mls","ors","orsj","ehs","ehsj","gas","LOCATION","INTL.USE.","COPY.USE","IUSE3","TOTAL","ItemsAdded","PatronsAdded"
"15","CHS","Chicago Heights Public Library","XBR","https://catalog.swanlibraries.net/chs","January",2015,508,"chs",1967,1802,491,53,0,4313,0.00232658876127624,"CHS Chicago Heights",9,2,9,1,0,2,2,14,0,2,1,3,2,1,1,12,1,10,0,3,0,25,1,0,0,0,23,3,0,0,13,2,2,0,11,2,3,0,4,1,37,2,0,0,7,5,17,2,8,2,0,0,5,2,3,1,12,3,9,1,5,2,0,1,5,4,6,0,14,1,18,1,26,1,2,2,12,0,6,1,9,0,0,0,6,0,2,0,3,5,2,14,1,3,0,7,0,1,2,7,0,28,4,28,2,2,1,2,23,1,5,0,2,1,1,1,5,3,1,0,6,0,4,0,0,0,6,2,6,1,3,1,4,7,9,0,0,3,0,4,0,1,0,0,6,3,0,1,17,9,0,0,6,3,17,5,5,2,17,3,711,,,,,,,,,,,,,,,,509,78
"16","CIS","Cicero Public Library","XBR","https://catalog.swanlibraries.net/cis","January",2015,1547,"cis",8377,8066,1570,91,0,18104,0.00976595477258175,"CIS Cicero",11,9,16,7,0,5,4,27,19,23,10,12,1,6,2,22,3,22,8,10,1,61,9,0,0,0,38,12,7,4,0,0,5,4,20,9,3,8,3,2,51,17,9,0,9,22,60,13,18,14,0,0,23,2,12,9,23,13,11,2,12,3,12,3,18,19,14,4,26,4,31,13,51,14,4,1,30,17,26,4,16,1,2,0,10,3,13,2,1,11,4,16,8,4,0,19,3,6,5,10,7,73,14,61,37,15,7,5,15,2,11,13,3,1,0,0,9,3,7,0,15,10,6,0,0,0,5,11,11,9,1,2,3,4,18,4,0,7,4,6,3,3,1,0,16,7,1,1,33,71,0,0,6,4,44,14,3,1,50,15,1823,,,,,,,,,,,,,,,,1994,294
"17","CNS","Clarendon Hills Public Library","XBR","https://catalog.swanlibraries.net/cns","January",2015,1923,"cns",1843,1795,362,26,0,4026,0.00217177054321775,"CNS Clarendon Hills",13,1,6,7,0,6,1,13,2,11,5,0,1,3,0,8,0,11,2,4,0,18,3,0,0,0,20,4,5,2,11,1,0,0,10,1,3,1,1,2,49,9,2,0,10,4,19,3,5,1,0,0,14,2,13,1,12,4,5,0,6,0,2,1,21,1,6,2,9,3,12,2,41,6,1,0,16,1,21,3,6,0,2,0,4,0,4,2,1,6,1,7,0,0,0,10,1,3,1,3,0,40,3,34,6,10,0,5,9,0,9,0,2,0,0,0,7,1,2,0,8,1,9,1,0,0,2,3,8,2,1,1,7,2,10,0,0,2,1,3,1,2,0,0,8,3,1,0,21,7,0,1,8,2,17,5,2,1,28,9,839,,,,,,,,,,,,,,,,2055,11
"18","CRS","Chicago Ridge Public Library","XBR","https://catalog.swanlibraries.net/crs","January",2015,1536,"crs",3699,3610,1008,178,1,8496,0.00458305080357128,"CRS Chicago Ridge",5,2,14,3,0,0,2,13,7,6,1,3,1,3,1,9,4,12,5,1,0,24,6,0,0,0,34,7,7,6,25,4,3,2,0,0,5,2,4,3,57,8,5,3,9,14,29,3,9,4,0,0,17,3,10,4,10,5,6,3,0,0,3,2,14,2,6,10,7,1,23,5,33,8,1,1,16,2,10,0,6,2,0,0,5,1,9,0,3,7,4,14,4,1,0,3,2,5,2,7,3,36,2,46,7,12,1,1,14,2,12,4,2,2,0,0,5,4,0,0,14,0,2,1,0,0,6,0,10,2,1,0,5,1,3,0,0,7,0,1,1,3,0,0,8,1,1,0,27,12,0,0,11,7,23,5,4,1,24,18,994,,,,,,,,,,,"crs",21,0,0,21,1612,49
"19","CTS","Crete Public Library District","XBR","https://catalog.swanlibraries.net/cts","January",2015,1480,"cts",3574,3229,1066,76,0,7945,0.00428582140235097,"CTS Crete",14,4,6,5,0,7,3,16,4,28,4,3,1,4,3,5,3,8,1,3,0,27,6,0,0,0,26,0,6,2,16,1,2,3,14,2,0,0,4,0,59,2,5,1,16,11,35,0,9,2,0,0,18,4,17,4,23,5,10,2,2,3,4,1,23,8,14,0,8,1,21,3,39,4,3,0,17,6,11,3,2,3,0,0,5,1,13,1,1,10,1,12,0,7,0,8,2,9,2,3,0,40,6,51,6,5,0,2,13,2,21,2,2,2,0,3,9,1,1,2,13,5,7,0,0,0,2,0,12,4,1,1,8,2,15,4,0,7,2,1,2,1,0,0,16,5,1,1,32,8,0,0,8,5,26,5,8,1,35,5,1116,,,,,,,,,,,"cts",32,0,0,32,1585,36
"20","CWS","Crestwood Public Library District","XBR","https://catalog.swanlibraries.net/cws","January",2015,1920,"cws",1742,1604,343,16,0,3705,0.00199861149096417,"CWS Crestwood",10,3,7,2,0,4,0,4,2,7,5,1,1,3,0,2,2,5,2,2,1,11,1,0,0,0,12,1,2,1,8,1,1,3,7,1,2,5,0,0,39,2,3,0,3,2,8,0,3,0,0,0,4,2,3,2,10,2,2,0,2,3,1,0,4,0,2,0,3,2,13,2,10,2,2,0,8,1,9,0,7,4,1,0,5,0,3,1,2,4,3,6,1,0,0,10,0,0,2,2,1,35,4,13,8,6,1,0,5,0,8,7,0,0,0,2,5,1,0,0,2,0,3,0,0,0,1,1,3,4,1,1,1,1,2,1,0,0,2,1,0,0,0,0,5,1,1,0,10,4,0,0,2,1,12,0,1,0,10,4,490,,,,,,,,,,,,,,,,2036,23
"21","DGS","Downers Grove Public Library","XBR","https://catalog.swanlibraries.net/dgs","January",2015,644,"dgs",29946,28594,6087,769,6,65402,0.0352802128831414,"DGS Downers Grove",101,21,58,33,0,29,10,96,22,78,11,19,8,32,9,60,5,72,8,14,2,192,18,0,2,0,211,25,26,16,88,30,23,7,87,6,54,22,32,12,0,0,31,4,76,37,167,16,77,19,0,0,79,21,87,11,122,36,43,7,36,4,27,2,113,34,30,7,53,10,133,23,244,38,19,6,130,27,113,18,57,6,4,0,42,2,51,8,15,35,11,70,6,23,0,51,10,29,9,30,7,323,35,350,70,66,15,22,79,8,73,18,21,6,6,3,69,20,5,1,48,17,37,5,0,0,32,8,85,22,10,2,48,7,65,10,0,30,18,10,8,9,6,0,90,17,18,7,192,74,0,2,58,10,160,31,26,7,258,37,6559,,,,,,,,,,,,,,,,988,215
"22","DOS","Dolton Public Library District","XBR","https://catalog.swanlibraries.net/dos","January",2015,556,"dos",1559,1439,436,37,0,3471,0.00187238339679801,"DOS Dolton",6,0,6,0,0,0,0,3,1,4,0,3,0,0,0,13,0,7,2,3,0,18,1,0,0,0,19,1,5,0,8,2,1,0,5,0,1,0,0,0,20,2,0,0,8,1,12,1,7,1,0,0,5,0,9,2,12,1,3,1,1,1,5,0,2,2,2,0,5,1,7,2,20,0,1,0,4,3,4,0,2,0,0,0,6,0,4,0,1,1,0,11,0,6,0,4,0,0,0,0,0,31,1,14,2,1,0,0,6,0,3,0,0,0,0,0,0,0,4,0,4,1,4,0,0,0,1,0,3,0,2,0,3,0,6,0,0,2,0,0,0,0,0,0,4,2,0,0,6,4,0,0,5,0,17,2,0,0,14,2,433,,,,,,,,,,,,,,,,833,96
"23","EPS","Elmwood Park Public Library","XBR","https://catalog.swanlibraries.net/eps","January",2015,1972,"eps",2641,2443,842,48,0,5974,0.00322259245533602,"EPS Elmwood Park",22,7,22,1,0,2,2,21,10,22,6,6,0,5,0,25,1,25,1,4,1,52,2,0,1,0,43,12,5,6,31,7,4,1,22,6,12,4,8,2,83,11,9,1,0,0,60,2,18,6,0,0,16,5,30,5,34,8,23,1,14,4,10,2,34,3,13,1,20,4,40,5,88,12,8,1,37,6,33,4,17,1,1,0,15,1,9,3,2,16,4,18,1,5,0,14,1,3,0,15,4,108,12,93,27,26,8,9,29,4,27,4,4,1,1,1,14,2,4,0,26,5,14,3,0,0,4,3,29,4,3,1,5,2,27,2,0,5,2,7,4,3,1,0,20,5,3,2,39,21,0,1,15,5,47,6,5,3,67,10,1955,,,,,,,,,,,"eps",10,0,0,10,2061,59
"24","ESS","Eisenhower Public Library District","XBR","https://catalog.swanlibraries.net/ess","January",2015,2214,"ess",12482,11729,4990,541,2,29744,0.0160449933028983,"ESS Eisenhower",38,5,43,8,0,10,5,30,21,38,8,13,4,16,2,27,4,35,5,15,2,120,10,1,0,0,93,10,6,8,58,18,11,4,39,5,14,7,8,3,181,18,10,1,47,34,0,0,24,7,0,0,31,12,22,10,33,13,26,6,22,3,10,0,38,17,19,6,24,4,65,11,127,20,9,0,50,11,32,11,19,3,0,0,30,2,19,2,4,20,4,35,7,5,0,23,3,12,4,9,8,163,15,142,46,30,10,11,62,5,31,4,5,0,3,2,27,17,9,1,21,4,24,2,0,0,10,4,31,5,4,1,10,5,20,6,0,23,6,9,3,9,0,0,30,11,2,2,74,37,0,1,25,5,59,13,13,5,98,31,3093,,,,,,,,,,,,,,,,2588,59
