"","LibID","Library","ILDSDeliveryStop","CatalogLink","Month","Year","BibsAdded","ITEM.LOC.CODE","CHKOUTS","CHKINS","RENEWALS","HOLDS","Hl.RECLL","TOTAL..","PERCENT","BorrowingLibrary","ads","adsj","ams","amsj","bbs","bcs","bcsj","bfs","bfsj","bis","bisj","bks","bksj","bps","bpsj","brs","brsj","bvs","bvsj","bws","bwsj","bys","bysj","bzs","cas","casj","ccs","ccsj","chs","chsj","cis","cisj","cns","cnsj","crs","crsj","cts","ctsj","cws","cwsj","dgs","dgsj","dos","dosj","eps","epsj","ess","essj","evs","evsj","fbs","fbsj","fms","fmsj","fps","fpsj","frs","frsj","gps","gpsj","gws","gwsj","has","hasj","hds","hdsj","hks","hksj","hss","hssj","hws","hwsj","ins","insj","jds","jdsj","lgs","lgsj","lps","lpsj","lys","lysj","mas","max","mcs","mcsj","mds","mdsj","mks","mps","mpsj","mts","mtsj","mws","mwsj","nls","nlsj","nrs","nrsj","oes","oesj","ols","olsj","ops","opsj","ozs","ozsj","pcs","pfs","pfsj","phs","phsj","pps","ppsj","pss","pssj","pts","ptsj","rds","rdsj","rfs","rfsj","rgs","rgsj","ros","rosj","rps","rpsj","rss","rssj","sas","sasj","sfs","sfsj","shs","shsj","sls","sps","spsj","sts","stsj","svs","svsj","tbs","tfs","tfsj","ths","thsj","tps","tpsj","ttr","tts","wcs","wcsj","wms","wmsj","wos","wosj","wrs","wrsj","ILL","czs","czsj","bzsj","mjs","mls","ors","orsj","ehs","ehsj","gas","LOCATION","INTL.USE.","COPY.USE","IUSE3","TOTAL","ItemsAdded","PatronsAdded"
"82","WOS","Worth Public Library District","XBR","https://catalog.swanlibraries.net/wos","January",2015,1955,"wos",1105,1022,228,60,0,2415,0.00130273866415074,"WOS Worth",16,0,9,4,0,4,0,13,0,18,1,5,0,5,0,4,1,10,0,4,0,20,0,0,0,0,33,1,2,0,11,3,1,0,16,0,2,1,3,0,32,1,4,0,9,6,10,0,16,3,0,0,6,0,9,0,18,0,3,1,4,0,0,0,7,2,4,0,11,0,12,1,33,1,0,0,7,0,11,0,17,1,0,0,3,0,5,0,4,4,1,13,1,2,0,4,1,2,0,3,0,64,4,30,1,6,0,2,9,0,10,4,0,0,0,0,5,3,0,0,4,0,2,1,0,0,5,1,5,1,0,0,1,0,12,0,0,2,1,2,1,5,0,0,7,0,1,0,12,5,0,0,2,0,23,0,0,0,23,0,713,,,,,,,,,,,,,,,,2022,29
"83","WRS","Woodridge Public Library","XBR","https://catalog.swanlibraries.net/wrs","January",2015,2120,"wrs",16245,15846,6461,322,6,38880,0.0209732833383771,"WRS Woodridge",52,1,55,9,0,14,5,57,14,51,10,12,0,15,3,41,2,45,5,7,5,112,5,0,0,0,127,11,13,5,63,15,11,4,55,9,17,12,10,2,233,26,14,0,49,30,112,5,32,13,0,0,52,7,43,16,67,10,35,0,26,4,12,1,41,16,23,2,32,1,100,7,180,20,11,1,73,13,60,1,31,1,4,0,21,1,25,2,5,17,3,55,7,8,0,29,6,15,6,30,7,196,22,206,41,38,6,15,53,2,54,9,9,1,2,1,32,7,8,1,26,7,18,2,0,0,15,6,40,12,12,2,21,5,50,6,0,17,3,13,2,2,1,0,39,15,5,1,75,51,0,1,27,6,111,13,4,4,0,0,3830,,,,,,,,,,,"wrs",1,0,0,1,2569,197
"84","ADS","Acorn Public Library District","XBR","https://catalog.swanlibraries.net/ads","February",2015,194,"ads",4066,4076,1241,152,2,9537,0.00567689722476692,"ADS Acorn",0,0,21,13,0,4,6,20,6,16,7,8,2,7,1,8,1,14,3,4,1,38,1,0,0,0,42,17,10,2,13,8,5,8,20,4,9,11,3,4,65,13,6,1,18,10,30,1,18,10,0,0,18,3,17,3,21,14,12,5,16,11,2,5,10,5,7,1,10,1,20,9,49,5,0,0,20,10,16,7,9,2,0,0,8,1,14,4,3,6,3,16,1,5,0,13,2,5,1,3,3,59,6,48,24,11,3,6,30,8,16,8,3,0,3,2,10,4,1,0,10,5,1,4,0,0,1,1,11,6,6,1,6,6,19,4,0,9,13,6,2,3,5,0,22,6,6,0,50,19,0,1,11,5,29,9,6,3,45,14,1492,,,,,,,,,,,"ads",0,0,7,7,339,80
"85","AMS","Alsip-Merrionette Park Public Library District","XBR","https://catalog.swanlibraries.net/ams","February",2015,681,"ams",5497,5417,1380,145,2,12441,0.00740550260808694,"AMS Alsip",8,3,0,0,0,0,0,14,5,14,3,9,1,4,1,7,0,13,0,1,0,27,3,0,0,0,26,2,6,0,10,0,1,0,9,3,6,3,5,1,45,3,6,0,6,5,9,0,10,5,0,0,9,1,3,1,17,1,4,0,6,0,2,1,9,4,4,0,12,1,23,3,22,4,2,0,17,2,4,1,6,0,0,0,5,0,1,0,0,5,0,3,0,5,0,9,0,1,0,1,0,41,1,42,6,4,0,5,20,2,4,2,2,0,0,0,11,1,3,0,3,1,4,0,0,0,1,0,8,4,2,0,9,1,9,0,0,5,2,4,0,0,0,0,11,1,1,0,15,5,0,0,1,4,16,2,1,0,28,3,748,,,,,,,,,,,,,,,,1174,56
"86","BCS","Beecher Community Library District","XBR","https://catalog.swanlibraries.net/bcs","February",2015,191,"bcs",1027,1024,336,15,0,2402,0.00142978998992242,"BCS Beecher",9,5,5,0,0,0,0,5,4,7,0,2,0,4,1,6,0,8,1,1,0,13,1,0,0,0,9,3,2,0,15,2,4,1,5,0,7,0,3,1,20,5,1,2,8,2,14,0,3,2,0,0,4,0,3,2,8,6,3,1,1,0,2,1,4,4,2,0,2,0,8,2,18,1,1,0,7,6,6,2,7,0,0,0,3,1,1,1,0,6,0,5,0,0,0,2,2,4,2,2,0,20,2,23,7,2,1,2,4,2,7,1,0,0,0,1,2,2,0,0,6,2,2,5,0,0,3,0,8,0,0,3,3,1,3,0,0,1,2,2,1,0,1,0,8,1,1,0,10,1,0,1,1,3,12,5,2,2,19,1,497,,,,,,,,,,,,,,,,260,6
"87","BFS","Brookfield Public Library","XBR","https://catalog.swanlibraries.net/bfs","February",2015,1932,"bfs",5582,5487,1887,127,0,13083,0.0077876529717548,"BFS Brookfield",27,12,23,16,0,8,8,0,0,38,14,6,4,3,4,18,5,27,5,3,0,68,13,0,0,0,49,21,11,10,25,9,12,14,24,5,9,11,10,10,132,22,14,3,21,13,52,9,22,10,0,0,25,11,21,10,37,12,11,3,12,7,11,5,21,18,11,7,11,7,42,10,87,22,2,3,51,22,38,7,24,6,0,0,18,2,10,6,3,8,6,13,6,7,0,23,7,8,3,8,7,105,15,111,34,24,10,7,32,9,20,19,6,5,0,0,21,14,3,0,27,9,7,3,0,0,9,0,52,18,0,1,17,7,17,5,0,13,16,8,7,4,2,0,21,7,2,2,60,31,0,1,20,6,40,18,1,5,68,31,2479,,,,,,,,,,,,,,,,1857,63
"88","BIS","Blue Island Public Library","XBR","https://catalog.swanlibraries.net/bis","February",2015,259,"bis",3578,3618,1692,118,0,9006,0.00536081958752761,"BIS Blue Island",17,1,20,4,0,7,0,5,3,0,0,3,0,6,2,9,1,14,0,8,2,39,0,0,0,0,34,5,2,1,28,3,5,0,11,2,8,1,3,1,57,1,4,1,19,2,34,1,12,1,0,0,14,1,14,3,19,9,8,3,6,0,4,0,20,5,10,1,13,1,28,4,53,6,2,0,24,4,21,0,8,1,0,0,10,1,8,3,0,4,2,11,2,8,0,8,1,8,3,1,1,51,4,47,10,12,1,6,17,3,15,5,3,0,1,0,6,1,3,0,9,2,4,0,0,0,4,2,6,1,2,0,9,4,29,2,0,7,0,5,2,7,0,0,11,2,0,1,29,19,0,0,12,2,29,4,6,1,27,2,1155,,,,,,,,,,,,,,,,365,77
"89","BKS","Berkeley Public Library","XBR","https://catalog.swanlibraries.net/bks","February",2015,191,"bks",686,764,146,46,0,1642,0.000977400151312496,"BKS Berkeley",4,1,7,4,0,1,1,14,1,4,2,0,0,0,1,4,1,5,3,1,2,17,4,0,0,0,19,0,2,2,10,2,1,0,3,3,1,1,1,0,18,10,2,1,2,7,11,0,1,2,0,0,1,5,4,3,4,1,4,2,2,0,3,0,6,5,3,1,4,0,5,1,13,3,0,1,5,0,4,2,3,0,0,0,5,0,4,2,0,4,1,8,0,3,3,3,2,6,1,2,1,20,7,18,6,4,1,3,8,0,6,0,1,2,3,0,1,3,0,1,3,0,2,0,0,0,2,0,5,2,1,0,2,2,4,1,0,1,1,1,0,2,0,0,6,1,0,0,9,8,0,0,4,0,13,0,0,0,14,1,475,,,,,,,,,,,,,,,,214,15
"90","BPS","Bedford Park Public Library District","XBR","https://catalog.swanlibraries.net/bps","February",2015,192,"bps",814,837,308,20,0,1979,0.00117799932974874,"BPS Bedford Park",4,0,2,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,7,1,0,0,0,3,0,5,0,1,0,2,0,4,0,0,0,1,0,6,1,0,0,1,1,4,0,2,0,0,0,3,0,0,0,3,0,1,0,0,0,1,0,1,0,1,0,0,0,2,0,11,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,9,0,6,0,2,0,0,1,0,3,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,3,0,0,0,1,1,4,0,0,0,2,1,134,,,,,,,,,,,,,,,,269,2
"91","BRS","Broadview Public Library District","XBR","https://catalog.swanlibraries.net/brs","February",2015,220,"brs",2264,2236,573,165,1,5239,0.00311851363747026,"BRS Broadview",2,0,1,0,0,0,0,6,3,1,1,0,0,2,0,0,0,4,0,2,0,6,0,0,0,0,9,1,4,0,4,1,0,1,3,0,0,0,0,0,6,0,1,0,4,0,8,0,1,1,0,0,0,0,2,0,10,0,3,0,5,0,1,0,5,1,1,0,0,0,9,1,15,0,0,0,3,2,4,0,0,0,0,0,2,0,3,3,2,0,0,2,0,1,0,2,0,3,1,1,0,12,0,14,3,2,1,1,1,0,1,0,0,0,0,0,1,1,1,0,3,0,2,0,0,0,1,0,0,0,0,0,0,2,6,0,0,0,0,1,1,0,0,0,5,1,2,0,11,5,0,0,2,0,8,1,1,0,3,0,247,,,,,,,,,,,,,,,,315,17
"92","BVS","Bridgeview Public Library","XBR","https://catalog.swanlibraries.net/bvs","February",2015,360,"bvs",1344,1257,398,50,0,3049,0.0018149166025285,"BVS Bridgeview",6,0,3,3,0,0,0,7,0,5,0,0,0,2,0,1,0,0,0,2,1,7,0,0,1,0,6,0,0,1,6,1,3,0,6,0,3,1,0,0,12,1,2,0,1,2,14,0,1,1,0,0,3,0,2,1,6,0,2,0,1,0,1,0,6,0,2,1,4,0,5,0,18,1,0,1,7,0,3,0,4,0,0,0,4,0,4,0,0,0,0,3,0,1,0,2,0,0,0,0,0,19,0,10,2,3,1,3,5,1,4,0,1,0,0,0,5,0,0,0,3,1,1,0,0,0,1,0,3,1,0,0,4,1,6,0,0,1,0,2,0,1,0,0,2,0,0,0,7,1,0,0,4,0,10,1,1,0,14,2,302,,,,,,,,,,,,,,,,191,30
"93","BWS","Bellwood Public Library","XBR","https://catalog.swanlibraries.net/bws","February",2015,210,"bws",1682,1610,461,41,0,3794,0.00225837769432376,"BWS Bellwood",11,2,4,0,0,4,0,13,1,8,1,3,0,2,0,17,1,11,0,0,0,12,1,0,0,0,19,3,2,0,18,0,2,0,6,0,0,1,1,0,34,5,6,0,7,4,13,2,7,0,0,0,10,0,9,1,13,0,12,0,6,0,7,1,3,0,4,1,4,0,15,2,24,2,2,0,14,2,7,1,1,0,0,0,4,0,7,1,1,3,1,14,1,4,0,4,2,3,2,6,1,33,2,28,9,7,3,6,14,1,4,1,1,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,2,1,0,0,4,0,5,1,0,2,0,4,0,1,0,0,6,0,1,0,15,5,0,0,2,0,19,2,1,0,14,1,619,,,,,,,,,,,"bws",57,0,0,57,344,52
"94","BYS","Berwyn Public Library","XBR","https://catalog.swanlibraries.net/bys","February",2015,1617,"bys",11746,11744,2664,265,1,26420,0.0157264993895713,"BYS Berwyn",31,11,28,9,0,9,1,23,11,18,14,16,4,5,7,35,3,30,4,7,2,0,0,0,0,0,65,7,10,11,33,10,7,0,35,5,11,10,6,3,102,13,8,3,21,18,45,8,25,4,0,0,20,11,26,12,30,9,20,4,20,2,10,2,30,9,16,5,23,3,48,9,78,17,1,3,45,14,37,9,13,2,0,0,22,3,13,9,1,14,11,20,3,7,0,16,6,5,8,15,3,94,20,113,26,22,11,6,43,8,21,15,5,3,2,2,9,6,5,2,15,5,16,3,0,0,4,0,26,6,2,0,11,7,18,3,0,9,2,7,4,6,2,0,21,8,5,1,47,45,0,1,10,5,48,12,2,3,80,13,2272,,,,,,,,,,,,,,,,1848,92
"95","BZS","Brookfield Zoo -- Library","XBR","https://catalog.swanlibraries.net/bzs","February",2015,,"bzs",6,0,5,1,0,12,7.14299745173566e-06,"BZS Brookfield Zoo",2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,1,0,1,0,0,3,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,56,,,,,,,,,,,,,,,,,3
"96","CAS","Calumet Park Public Library","XBR","https://catalog.swanlibraries.net/cas","February",2015,,"cas",419,446,152,2,0,1019,0.000606559533609886,"CAS Calumet Park",0,0,6,0,0,0,0,5,0,1,0,0,0,0,1,1,0,1,0,0,0,5,0,0,0,0,7,2,2,0,4,0,0,0,1,0,0,0,2,1,5,1,1,0,4,0,4,1,1,0,0,0,3,0,0,0,6,0,5,0,0,1,1,0,2,1,0,0,1,1,0,1,4,0,1,0,1,0,2,0,1,0,0,0,1,0,3,0,1,0,1,1,0,0,0,4,0,3,0,1,0,8,0,3,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,3,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,2,0,1,9,1,0,0,2,0,3,1,1,1,5,2,161,,,,,,,,,,,,,,,,67,9
"97","CCS","Calumet City Public Library","XBR","https://catalog.swanlibraries.net/ccs","February",2015,266,"ccs",5275,5224,1770,198,1,12468,0.00742157435235335,"CCS Calumet City",11,1,6,1,0,2,0,8,0,8,0,1,0,2,0,14,1,7,0,4,0,21,2,0,0,0,0,0,11,1,11,0,2,0,11,0,4,0,1,0,48,0,8,0,7,4,25,0,8,1,0,0,5,0,14,1,8,2,5,0,4,0,3,0,7,4,6,0,4,1,6,0,30,0,3,0,14,0,16,0,4,0,0,0,4,0,6,1,1,5,1,10,0,3,0,11,2,2,2,1,0,53,3,33,3,4,0,4,8,0,7,0,2,0,1,1,8,1,1,0,9,0,2,1,0,0,2,0,7,1,2,0,2,3,13,0,0,9,1,5,1,2,1,0,7,2,0,0,23,5,0,0,8,0,15,3,3,0,18,0,691,,,,,,,,,,,,,,,,923,67
"98","CHS","Chicago Heights Public Library","XBR","https://catalog.swanlibraries.net/chs","February",2015,202,"chs",1543,1547,467,135,0,3692,0.002197662215984,"CHS Chicago Heights",7,1,12,1,0,1,0,5,2,9,1,1,1,1,0,8,1,6,0,4,0,19,2,0,0,0,16,2,0,0,16,1,1,0,8,0,3,1,4,0,15,3,2,0,7,7,14,2,6,1,0,0,10,0,10,4,6,1,8,0,8,0,4,0,9,4,5,1,4,1,22,4,23,3,0,0,9,3,3,3,4,1,0,0,3,0,1,0,1,1,0,9,0,3,0,7,1,1,0,4,1,22,1,34,2,5,2,1,12,2,5,1,1,0,1,0,5,1,1,0,7,1,3,2,0,0,12,1,4,1,4,0,1,3,12,0,0,1,0,1,0,1,0,0,4,0,1,0,11,9,0,0,7,2,13,6,0,0,26,2,604,,,,,,,,,,,,,,,,218,143
"99","CIS","Cicero Public Library","XBR","https://catalog.swanlibraries.net/cis","February",2015,1393,"cis",6590,6705,1594,101,1,14991,0.00892338956658077,"CIS Cicero",7,7,13,12,0,1,6,14,11,24,6,6,1,8,3,15,2,18,4,2,1,44,4,0,0,0,47,10,6,8,0,0,1,0,10,2,5,3,5,1,54,11,1,4,17,9,30,7,8,11,0,0,11,8,14,3,18,8,13,2,7,0,5,1,12,14,11,4,13,1,22,7,34,16,3,1,16,9,13,2,13,3,1,0,7,1,7,6,1,7,2,21,2,6,0,14,4,5,5,2,3,57,19,64,40,10,6,2,21,2,9,11,0,0,2,0,8,10,3,0,10,5,2,2,0,0,1,1,13,4,1,1,17,8,11,1,0,2,4,0,3,5,0,0,17,8,3,0,19,29,0,0,5,2,24,7,1,3,44,12,1366,,,,,,,,,,,,,,,,2002,230
"100","CNS","Clarendon Hills Public Library","XBR","https://catalog.swanlibraries.net/cns","February",2015,1495,"cns",1359,1376,360,15,0,3110,0.00185122683957482,"CNS Clarendon Hills",4,7,9,3,0,1,0,9,3,11,2,1,1,3,2,3,1,8,1,2,0,11,2,0,0,0,11,3,3,0,8,2,0,0,6,4,6,5,4,1,19,4,6,0,8,2,13,2,3,4,0,0,8,2,12,0,13,3,6,1,4,1,0,2,14,6,2,4,4,0,11,2,22,5,2,0,6,3,6,1,7,1,1,0,3,0,8,3,1,4,1,5,1,0,0,7,3,2,2,4,1,23,8,26,13,5,1,3,10,1,9,5,5,3,0,0,7,5,1,0,16,1,3,3,0,0,4,0,7,2,0,1,8,3,4,0,0,2,2,1,0,4,0,0,11,1,3,1,14,7,0,0,9,3,11,4,3,2,20,6,673,,,,,,,,,,,,,,,,1608,20
"101","CRS","Chicago Ridge Public Library","XBR","https://catalog.swanlibraries.net/crs","February",2015,1387,"crs",3207,3226,1012,169,0,7614,0.00453223188312628,"CRS Chicago Ridge",15,1,9,6,0,5,4,13,0,4,3,4,0,2,0,12,1,10,1,3,2,22,0,0,0,0,31,2,2,4,11,5,3,4,0,0,4,1,1,0,39,6,7,0,6,11,14,2,7,4,0,0,5,2,9,2,15,6,9,0,8,1,4,0,8,6,5,1,7,5,18,4,33,3,1,0,17,3,7,1,5,1,1,0,2,1,4,3,1,3,0,18,0,4,0,4,0,5,3,2,1,31,9,35,9,4,3,3,10,3,11,6,2,0,1,0,3,2,2,1,12,2,4,0,0,0,0,0,7,2,2,0,1,1,3,1,0,2,1,6,0,1,0,0,12,2,0,1,21,7,0,1,5,2,16,5,3,2,20,6,802,,,,,,,,,,,"crs",14,0,0,14,1506,23
"102","CTS","Crete Public Library District","XBR","https://catalog.swanlibraries.net/cts","February",2015,1852,"cts",2975,2995,1078,63,2,7113,0.00423401173951631,"CTS Crete",17,4,18,7,0,4,4,14,9,16,10,5,1,8,0,6,2,13,3,5,3,24,4,0,0,0,26,8,12,4,13,5,3,2,18,3,0,0,6,5,51,10,10,1,15,9,19,1,12,8,0,0,14,1,13,8,17,5,15,2,11,1,4,0,15,7,2,0,7,6,26,8,38,9,3,1,17,11,15,5,7,3,2,0,8,1,11,4,1,10,3,14,0,3,0,13,1,3,2,6,4,57,5,64,17,11,3,6,14,3,13,4,5,1,1,1,5,3,1,5,5,5,9,3,0,0,6,0,10,5,1,1,8,4,12,2,0,4,2,3,1,4,1,0,14,10,0,0,28,13,0,2,6,2,31,7,3,1,38,3,1238,,,,,,,,,,,"cts",3,0,0,3,2060,39
"103","CWS","Crestwood Public Library District","XBR","https://catalog.swanlibraries.net/cws","February",2015,1494,"cws",1665,1655,381,23,0,3724,0.00221671020918863,"CWS Crestwood",11,3,5,3,0,1,0,7,1,7,0,2,0,1,2,3,0,5,0,0,0,7,1,0,0,0,14,6,2,2,2,5,0,1,7,0,3,0,0,0,26,5,2,0,6,0,10,1,5,1,0,0,5,0,5,0,5,4,1,0,4,0,2,0,5,2,1,1,2,0,7,1,13,1,2,0,9,2,4,3,3,2,0,0,3,0,1,0,2,0,1,4,1,1,0,1,0,1,1,2,1,20,6,16,4,6,2,1,11,0,3,4,0,2,1,0,3,3,1,0,2,1,0,0,0,0,1,0,7,3,0,1,3,1,1,0,0,1,4,0,2,0,0,0,4,3,0,2,12,3,0,0,1,2,8,1,0,1,10,6,423,,,,,,,,,,,,,,,,1632,17
"104","DGS","Downers Grove Public Library","XBR","https://catalog.swanlibraries.net/dgs","February",2015,572,"dgs",25683,25075,5648,613,6,57025,0.0339441191404355,"DGS Downers Grove",78,23,71,18,0,23,9,79,22,69,13,19,4,35,11,38,4,83,16,15,4,138,17,0,4,0,134,27,29,11,80,27,30,6,80,21,34,9,24,14,0,0,33,1,67,24,125,15,71,20,0,0,65,10,83,9,105,21,31,7,31,7,12,4,102,30,40,9,42,9,136,14,236,48,23,7,126,38,82,9,45,13,3,0,31,3,45,10,13,38,7,55,4,10,1,40,10,27,8,21,6,299,43,294,54,46,13,16,75,15,87,18,13,4,8,1,51,24,6,1,55,11,28,6,0,0,28,2,72,17,11,5,20,9,37,9,0,21,11,12,2,18,5,0,62,14,9,2,163,66,0,0,52,11,140,30,14,4,205,67,5687,,,,,,,,,,,,,,,,976,161
"105","DOS","Dolton Public Library District","XBR","https://catalog.swanlibraries.net/dos","February",2015,210,"dos",1049,1089,342,22,0,2502,0.00148931496868688,"DOS Dolton",7,0,8,0,0,1,0,4,2,3,3,3,0,2,0,7,1,1,0,4,0,11,0,0,0,0,20,0,1,0,6,2,1,0,7,0,3,0,1,0,15,0,0,0,7,2,11,0,0,0,0,0,12,0,4,4,8,0,6,0,3,0,4,0,4,3,2,0,2,0,5,0,10,4,2,0,3,6,3,0,2,0,0,0,4,0,3,0,0,1,0,7,0,6,0,8,1,3,0,0,1,6,0,16,1,3,0,0,6,0,0,1,0,0,1,0,5,0,1,0,0,0,1,0,0,0,2,0,4,0,1,0,1,1,4,0,0,0,0,3,2,2,0,0,1,3,1,0,11,1,0,0,3,0,5,1,1,0,9,0,351,,,,,,,,,,,,,,,,417,71
"106","EPS","Elmwood Park Public Library","XBR","https://catalog.swanlibraries.net/eps","February",2015,1589,"eps",2207,2214,807,35,0,5263,0.00313279963237373,"EPS Elmwood Park",13,5,16,4,0,3,2,20,7,12,7,4,1,8,0,14,4,19,1,2,0,51,5,0,0,0,52,9,4,5,31,12,2,1,27,3,12,7,4,2,90,4,2,0,0,0,47,5,15,5,0,0,21,10,14,5,19,7,12,2,6,3,2,1,15,9,9,3,21,2,34,2,56,5,3,2,31,10,23,6,20,1,0,0,12,2,10,2,0,4,2,18,1,8,1,12,4,8,2,6,1,66,8,71,13,19,6,2,34,5,13,12,3,0,2,0,12,4,1,0,14,1,10,0,0,0,4,1,16,10,3,0,5,1,15,0,0,5,4,7,1,1,0,0,19,7,3,2,46,24,0,0,8,6,36,5,2,2,31,15,1559,,,,,,,,,,,"eps",6,0,0,6,1654,45
"107","ESS","Eisenhower Public Library District","XBR","https://catalog.swanlibraries.net/ess","February",2015,1641,"ess",10261,10246,4373,485,2,25367,0.0150997013631815,"ESS Eisenhower",35,6,32,16,0,12,0,29,11,27,10,6,1,12,0,36,4,29,9,8,3,103,5,0,1,0,63,12,8,6,45,11,10,4,27,6,13,9,2,1,140,26,23,1,41,32,0,0,21,7,0,0,24,3,24,6,65,9,19,4,16,2,5,3,29,15,18,1,21,1,54,8,118,23,1,0,39,13,35,6,26,5,1,0,21,2,15,5,1,20,1,26,5,8,1,16,3,4,4,10,6,139,17,132,32,18,5,12,49,2,30,8,2,2,1,1,29,6,3,0,22,3,23,1,0,0,15,0,23,13,8,2,16,2,21,0,0,15,3,6,2,3,1,0,22,10,5,1,77,36,0,1,18,3,73,12,9,2,75,19,2675,,,,,,,,,,,,,,,,1875,58
"108","EVS","Evergreen Park Public Library","XBR","https://catalog.swanlibraries.net/evs","February",2015,231,"evs",3477,3494,629,95,0,7695,0.00458044711592549,"EVS Evergreen Park",14,3,14,5,0,1,2,9,4,11,0,0,2,1,0,13,3,10,3,5,0,15,3,0,0,0,27,2,7,0,18,3,2,1,9,7,1,5,4,1,32,5,8,2,11,2,23,4,0,0,0,0,5,2,22,2,12,4,8,2,8,1,3,0,10,2,3,2,3,2,28,6,20,3,1,2,21,10,11,2,7,2,0,0,9,0,3,3,3,7,3,13,1,0,0,2,1,6,3,3,2,40,8,34,7,5,1,3,12,1,5,9,4,1,0,1,6,3,0,0,9,2,1,0,0,0,6,3,10,5,1,1,6,1,4,1,0,7,2,1,0,1,0,0,12,2,3,0,14,8,0,0,7,1,18,3,2,1,33,3,863,,,,,,,,,,,,,,,,360,67
"109","FMS","Flossmoor Public Library","XBR","https://catalog.swanlibraries.net/fms","February",2015,1859,"fms",5040,4903,1099,72,0,11114,0.00661560613988251,"FMS Flossmoor",24,6,19,7,0,7,1,22,3,25,2,4,0,10,2,13,0,11,4,4,0,44,4,0,0,0,31,8,15,3,9,4,4,4,22,4,13,5,5,1,66,6,9,0,12,5,27,4,21,2,0,0,0,0,29,2,17,2,13,2,8,1,3,3,23,4,3,0,15,2,42,3,55,1,3,0,25,5,23,2,3,2,1,0,6,1,9,5,5,13,3,19,1,1,1,5,2,4,0,5,1,68,6,65,9,12,3,5,22,3,20,6,9,1,2,1,12,2,2,1,16,4,3,0,0,0,6,0,12,1,5,0,12,2,16,1,0,8,2,3,0,3,2,0,17,4,1,1,30,17,0,0,13,1,26,4,5,0,37,9,1375,,,,,,,,,,,"fms",18,0,0,18,2172,32
"110","FPD","Franklin Park Public Library District","XGV","http://lnco.ent.sirsi.net/client/franklinpark","February",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
"111","FPS","Forest Park Public Library","XBR","https://catalog.swanlibraries.net/fps","February",2015,280,"fps",3940,3961,957,68,0,8926,0.00531319960451604,"FPS Forest Park",6,2,12,1,0,4,1,10,2,10,4,3,1,4,0,8,1,14,3,4,1,27,1,0,0,0,31,3,6,1,21,3,4,2,15,1,6,0,6,1,59,2,5,0,15,5,28,1,10,1,0,0,4,3,0,0,22,1,6,0,6,0,3,0,17,4,8,0,12,1,23,4,50,0,3,0,22,2,17,2,7,0,0,0,8,0,9,0,1,10,0,12,2,6,0,6,1,1,1,2,1,52,4,68,9,12,2,3,25,1,15,6,4,1,0,0,12,2,2,1,15,3,3,0,0,0,4,0,14,2,3,0,5,1,10,2,0,8,1,4,3,2,0,0,11,1,0,0,30,3,0,1,6,3,21,1,4,0,38,3,1043,,,,,,,,,,,,,,,,336,54
"112","FRS","Frankfort Public Library District","XBR","https://catalog.swanlibraries.net/frs","February",2015,1585,"frs",7433,7501,1617,195,1,16747,0.00996864819368476,"FRS Frankfort",28,3,28,11,0,4,5,26,11,33,8,11,0,8,9,22,1,30,5,8,4,50,14,0,0,0,62,15,18,9,39,8,12,5,28,8,20,10,10,4,137,17,9,2,33,8,51,7,30,10,1,0,34,9,24,7,0,0,16,1,16,3,7,2,29,15,11,6,26,4,42,13,123,10,10,2,47,11,33,7,16,5,0,0,15,3,16,8,2,15,5,26,0,6,0,18,1,11,4,7,4,103,21,119,27,13,5,9,36,10,16,15,8,2,5,0,28,7,5,2,10,5,12,6,0,0,9,1,19,5,1,2,11,6,17,0,0,12,5,9,2,2,1,0,32,9,2,2,72,46,0,0,18,12,47,18,11,4,78,13,2472,,,,,,,,,,,,,,,,1607,69
