"","LibID","Library","ILDSDeliveryStop","CatalogLink","Month","Year","BibsAdded","ITEM.LOC.CODE","CHKOUTS","CHKINS","RENEWALS","HOLDS","Hl.RECLL","TOTAL..","PERCENT","BorrowingLibrary","ads","adsj","ams","amsj","bbs","bcs","bcsj","bfs","bfsj","bis","bisj","bks","bksj","bps","bpsj","brs","brsj","bvs","bvsj","bws","bwsj","bys","bysj","bzs","cas","casj","ccs","ccsj","chs","chsj","cis","cisj","cns","cnsj","crs","crsj","cts","ctsj","cws","cwsj","czs","czsj","dgs","dgsj","dos","dosj","ehs","ehsj","eps","epsj","ess","essj","evs","evsj","fbs","fbsj","fms","fmsj","fps","fpsj","frs","frsj","gas","gps","gpsj","gws","gwsj","has","hasj","hds","hdsj","hks","hksj","hss","hssj","hws","hwsj","ins","insj","jds","jdsj","lgs","lgsj","lps","lpsj","lys","lysj","mas","max","mcs","mcsj","mds","mdsj","mks","mls","mps","mpsj","mts","mtsj","mws","mwsj","nls","nlsj","nrs","nrsj","oes","oesj","ols","olsj","ops","opsj","ors","orsj","ozs","ozsj","pcs","pfs","pfsj","phs","phsj","pps","ppsj","pss","pssj","pts","ptsj","rds","rdsj","rfs","rfsj","rgs","rgsj","ros","rosj","rps","rpsj","rss","rssj","sas","sasj","sfs","sfsj","shs","shsj","sls","sps","spsj","sts","stsj","svs","svsj","tbs","tfs","tfsj","ths","thsj","tps","tpsj","ttr","tts","wcs","wcsj","wms","wmsj","wos","wosj","wrs","wrsj","ILL","bzsj","mjs","LOCATION","INTL.USE.","COPY.USE","IUSE3","TOTAL","ItemsAdded","PatronsAdded"
"1","ADS","Acorn Public Library District","XBR","https://catalog.swanlibraries.net/ads","January",2012,277,"ads",5170,4763,1212,203,2,11350,0.00430333221990141,"ADS Acorn",0,0,34,14,0,4,1,15,5,20,7,4,3,15,2,16,4,15,1,7,0,35,13,0,0,0,36,2,6,1,17,6,7,4,33,4,12,1,4,3,0,0,99,9,13,1,104,34,19,12,30,3,32,5,0,0,27,1,23,3,30,8,0,10,4,19,0,5,2,21,6,10,5,7,0,40,15,48,11,5,3,23,2,23,2,8,2,0,0,18,0,13,0,0,3,17,5,25,6,1,0,15,6,3,5,8,3,66,9,89,15,38,6,15,2,7,25,1,28,3,2,5,0,0,16,9,4,0,15,2,7,2,0,0,4,1,16,7,3,0,10,3,15,1,0,6,3,10,1,4,1,0,19,0,3,0,31,11,0,0,10,2,37,0,5,1,49,12,1834,,,"ads",0,0,5,5,604,121
"2","AMS","Alsip-Merrionette Park Public Library District","XBR","https://catalog.swanlibraries.net/ams","January",2012,117,"ams",7647,7112,1401,250,0,16410,0.00622182217872971,"AMS Alsip",8,1,0,0,0,1,0,9,4,14,6,3,1,4,1,11,2,11,1,7,1,27,1,0,0,0,30,4,5,1,24,9,8,2,18,4,5,2,4,0,0,0,64,5,10,1,62,9,8,15,20,2,24,9,0,0,15,1,10,3,16,4,0,9,2,9,2,9,0,21,2,7,0,16,1,21,8,35,4,9,2,23,4,11,4,7,1,0,0,13,0,4,0,2,1,5,2,17,7,1,1,13,1,4,1,6,0,53,4,57,7,27,3,6,1,5,14,0,11,1,1,0,2,0,14,5,0,1,7,1,2,3,0,1,2,2,10,3,2,0,7,2,9,1,0,6,4,5,1,2,2,0,11,2,0,2,31,6,0,0,6,1,37,5,4,0,30,8,1219,,,,,,,,3637,71
"3","BCS","Beecher Community Library District","XBR","https://catalog.swanlibraries.net/bcs","January",2012,1,"bcs",1446,1383,316,16,0,3161,0.00119848750194787,"BCS Beecher",4,2,8,4,0,0,0,13,8,1,9,4,0,2,0,2,0,11,0,1,0,12,2,0,0,0,13,0,3,0,11,3,2,1,10,1,3,3,4,1,0,0,28,9,1,1,43,7,8,3,14,0,8,7,0,0,14,0,3,4,12,2,0,7,1,7,0,3,0,10,2,4,2,10,0,14,8,20,3,2,2,8,1,12,3,0,0,0,0,2,0,3,0,0,0,10,0,8,4,3,0,11,2,2,4,2,1,23,0,31,6,23,1,6,1,2,7,1,4,0,3,1,0,0,3,1,2,0,2,3,1,0,0,0,6,2,7,3,0,0,3,0,6,0,0,5,1,3,0,1,0,0,6,0,2,0,17,7,0,0,6,2,18,4,4,0,22,3,722,,,,,,,,83,22
"4","BFS","Brookfield Public Library","XBR","https://catalog.swanlibraries.net/bfs","January",2012,89,"bfs",8368,8256,1762,202,2,18590,0.00704836528352135,"BFS Brookfield",41,9,47,18,0,10,6,0,0,38,14,10,3,16,6,12,1,30,2,8,4,77,7,0,0,0,52,14,10,1,42,13,12,5,29,13,16,5,8,3,0,0,148,19,19,6,150,34,14,22,75,8,37,14,0,0,24,9,36,6,42,16,0,21,5,18,5,23,1,37,14,16,5,37,4,65,19,138,16,5,1,54,14,41,7,11,4,0,0,18,1,9,1,1,3,23,6,55,15,0,0,25,10,8,7,9,3,129,19,150,48,80,12,28,13,6,58,5,36,18,2,4,2,3,32,13,0,1,34,7,7,8,0,0,13,5,35,7,1,3,18,6,24,6,0,13,5,5,2,7,5,0,24,7,3,0,68,25,0,0,15,9,71,11,6,4,105,18,3252,,,,,,,,80,77
"5","BIS","Blue Island Public Library","XBR","https://catalog.swanlibraries.net/bis","January",2012,505,"bis",6373,6229,1792,211,2,14607,0.00553821795031718,"BIS Blue Island",13,4,26,9,0,2,0,28,12,0,0,8,3,3,3,29,1,7,0,8,1,31,2,0,0,0,50,6,13,5,40,6,5,4,20,4,12,1,5,2,0,0,81,7,10,2,99,21,15,27,40,3,41,3,0,0,21,7,17,3,16,10,0,38,1,24,2,10,1,19,2,0,3,26,3,40,5,106,4,3,1,22,3,22,1,4,0,1,0,15,1,9,1,0,3,23,4,38,9,5,0,32,3,9,3,7,1,56,3,105,19,47,5,12,5,3,42,3,15,7,1,0,2,0,14,7,5,0,13,3,7,0,0,0,13,7,21,4,3,0,15,4,9,0,0,9,3,7,2,3,0,0,11,5,0,0,44,19,0,0,11,3,63,3,5,3,51,7,1989,,,,,,,,1127,98
"6","BKS","Berkeley Public Library","XBR","https://catalog.swanlibraries.net/bks","January",2012,14,"bks",1353,1380,174,92,1,3000,0.00113744463962152,"BKS Berkeley",6,0,9,11,0,0,2,10,3,4,1,0,0,1,0,4,0,3,0,2,0,18,4,0,0,0,12,2,3,3,11,7,1,1,6,0,4,2,2,1,0,0,20,4,4,0,25,11,9,6,12,2,5,8,0,0,11,2,5,3,10,0,0,8,3,7,2,7,0,4,4,6,4,5,2,12,5,31,5,0,0,11,1,8,1,1,1,1,0,2,0,1,1,0,0,6,1,8,1,0,0,6,2,2,3,2,1,13,5,22,11,7,7,5,1,2,8,0,3,0,0,1,0,1,5,4,0,0,5,1,1,1,0,0,0,1,1,1,0,1,2,0,2,1,0,3,3,1,0,3,1,0,0,3,1,1,14,0,0,0,7,2,13,0,1,0,17,13,630,,,,,,,,82,36
"7","BPS","Bedford Park Public Library District","XBR","https://catalog.swanlibraries.net/bps","January",2012,432,"bps",1218,1174,394,48,0,2834,0.00107450603622913,"BPS Bedford Park",1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,4,0,0,0,6,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,3,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,2,68,,,,,,,,1128,2
"8","BRS","Broadview Public Library District","XBR","https://catalog.swanlibraries.net/brs","January",2012,26,"brs",4467,4348,643,107,0,9565,0.00362655265932661,"BRS Broadview",3,0,6,2,0,1,0,3,2,2,4,1,0,2,0,0,0,4,0,2,0,6,0,0,0,0,9,2,4,0,5,1,2,1,2,0,2,1,3,0,0,0,19,2,6,2,21,1,3,15,6,0,1,0,0,0,2,0,2,2,5,0,0,0,3,4,0,2,0,4,0,1,1,6,0,10,0,10,4,1,0,8,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,11,0,3,0,3,0,0,0,2,2,7,2,14,2,8,3,2,0,0,8,1,3,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,4,2,2,0,0,0,2,0,4,3,0,1,0,1,0,3,0,0,3,0,0,0,8,0,0,1,3,0,13,1,1,1,12,0,358,,,,,,,,164,29
"9","BVS","Bridgeview Public Library","XBR","https://catalog.swanlibraries.net/bvs","January",2012,440,"bvs",1225,1220,244,24,0,2713,0.00102862910243106,"BVS Bridgeview",10,0,10,2,0,3,0,3,2,4,2,2,0,2,0,4,1,0,0,1,0,10,1,0,0,0,8,1,2,0,7,0,1,0,7,0,2,1,2,0,0,0,20,1,2,0,17,6,0,3,10,0,10,1,0,0,4,0,4,0,9,1,0,4,0,5,0,2,0,8,2,5,0,6,1,5,1,15,3,5,0,7,2,3,0,3,1,0,0,5,0,2,0,0,1,1,0,5,1,1,0,11,0,1,2,1,0,18,1,11,2,14,3,3,1,2,5,0,3,2,2,0,0,0,4,1,0,0,3,0,2,0,0,0,2,1,3,1,1,0,1,0,2,0,0,2,2,0,0,1,0,0,5,0,0,0,22,3,0,0,4,0,14,1,0,0,17,0,444,,,,,,,,433,61
"10","BWS","Bellwood Public Library","XBR","https://catalog.swanlibraries.net/bws","January",2012,447,"bws",3099,2944,443,74,2,6562,0.00248797057506547,"BWS Bellwood",5,0,23,4,0,1,0,19,25,10,18,2,0,2,2,21,3,11,0,0,0,18,2,0,0,0,21,1,7,1,21,2,3,1,13,2,9,2,3,0,0,0,37,4,6,1,53,13,5,13,14,2,14,12,0,0,11,1,18,5,10,4,0,15,5,10,1,10,0,8,5,0,0,12,2,30,3,32,5,3,0,21,3,15,1,4,0,0,0,9,2,6,0,1,1,6,0,18,0,1,0,23,1,4,1,4,2,16,2,46,13,17,5,6,2,5,16,3,6,0,0,1,0,0,6,2,2,0,1,1,3,0,0,0,4,2,12,0,1,0,4,0,11,0,0,7,0,1,0,1,0,0,4,2,2,0,23,6,0,0,0,2,23,0,5,0,34,8,1044,,,"bws",33,0,0,33,725,75
